ID,species
FEB1xPBX012-1-V35,LBX
FEB1xPBX013-1-V12,LBX
FEB1xPBX013-1-V18,LBX
KMM20-V09,LBX
KMM20-V10,LBX
KMM20-V29,LBX
KMM5-V11,LBX
LBX001V02,LBX
LBX001V06,LBX
LBX001V07,LBX
LBX001V08,LBX
LBX001V10,LBX
LBX001V12,LBX
LBX001V13,LBX
LBX001V15,LBX
LBX001V18,LBX
LBX001V27,LBX
LBX001V29,LBX
LBX001V30,LBX
LBX001V31,LBX
LBX002V02,LBX
LBX002V04,LBX
LBX004V01,LBX
LBX005V01,LBX
LBX005V02,LBX
LBX005V03,LBX
LBX005V07,LBX
LBX005V09,LBX
LBX005V10,LBX
LBX005V11,LBX
LBX005V12,LBX
LBX005V14,LBX
LBX007V01,LBX
LBX007V02,LBX
LBX007V06,LBX
LBX007V08,LBX
LBX008V01,LBX
LBX008V02,LBX
LBX008V04,LBX
LBX008V05,LBX
LBX008V06,LBX
LBX008V07,LBX
LBX008V08,LBX
LBX008V10,LBX
LBX008V13,LBX
LBX009V01,LBX
LBX009V03,LBX
LBX009V05,LBX
LBX009V06,LBX
LBX009V07,LBX
LBX009V08,LBX
LBX009V09,LBX
LBX009V10,LBX
LBX009V15,LBX
LBX009V17,LBX
LBX009V21,LBX
LBX009V22,LBX
LBX009V23,LBX
LBX009V27,LBX
LBX010V01,LBX
LBX010V02,LBX
LBX010V03,LBX
LBX010V04,LBX
LBX010V06,LBX
LBX010V07,LBX
LBX010V09,LBX
LBX010V12,LBX
LBX010V16,LBX
LBX010V17,LBX
LBX010V18,LBX
LBX010V22,LBX
LBX010V24,LBX
LBX010V26,LBX
LBX010V27,LBX
LBX011V01,LBX
LBX011V02,LBX
LBX011V03,LBX
LBX011V04,LBX
LBX012V01,LBX
LBX013V01,LBX
LBX013V03,LBX
LBX013V04,LBX
LBX013V05,LBX
LBX013V07,LBX
LBX013V08,LBX
LBX013V09,LBX
LBX013V10,LBX
LBX013V11,LBX
LBX013V14,LBX
LBX013V16,LBX
LBX013V18,LBX
LBX013V19,LBX
LBX014V01,LBX
LBX014V02,LBX
LBX016V01,LBX
LBX016V02,LBX
LBX016V03,LBX
LBX016V04,LBX
LBX016V06,LBX
LBX016V08,LBX
LBX016V09,LBX
LBX016V10,LBX
LBX016V11,LBX
LL279xLL297-1,Lecontei
LL280xLL283-1,Lecontei
LL280xLL284-1,Lecontei
LL280xLL285-1,Lecontei
LL280xLL288-1,Lecontei
LL280xLL288-2,Lecontei
LL280xLL297-1,Lecontei
LL280xLL298-1,Lecontei
LL280xLX022-1,Lecontei
LL280xLX022-3,Lecontei
LL282xLL255v1-1,Lecontei
LL282xLL284-1,Lecontei
LL282xLL287-1,Lecontei
LL282xLL297-1,Lecontei
LL282xLL427v1-1,Lecontei
LL283xLX024-1,Lecontei
LL285xLL279-1,Lecontei
LL285xLL286-1,Lecontei
LL286XLL247-V1,Lecontei
LL286xLL247-V1,Lecontei
LL286xLL255-V2,Lecontei
LL286xLL288-1,Lecontei
LL286xLL288-2,Lecontei
LL286xLL297-1,Lecontei
LL286xLX022-1,Lecontei
LL287xLX022-1,Lecontei
LL288xLL022-1,Lecontei
