group,angle,key,marked_tiff,txt,raw_image,raw_group,n_expected,n_found,landmark_source,image_width,image_height,landmarks_px_json,flags
F1,Bottom,rx008-v3_b,../marked_images/landmarked_f1/marked_tiff/bottom/RX008-V3_B_MARK.tif,../marked_images/landmarked_f1/txt/bottom/RX008-V3_B.txt,,,17,17,roi,3840,2160,"[[2520.0, 1015.0], [2331.5, 1019.5], [2271.5, 1020.5], [2209.5, 1022.5], [2144.5, 1021.5], [2333.833251953125, 1082.5], [2307.166748046875, 1079.1666259765625], [2252.166748046875, 1075.8333740234375], [2196.833251953125, 1082.1666259765625], [2254.5, 1091.1666259765625], [2312.833251953125, 1093.8333740234375], [2334.5, 1098.5], [2448.166748046875, 1160.1666259765625], [2333.833251953125, 1146.5], [2280.833251953125, 1149.8333740234375], [2219.166748046875, 1157.1666259765625], [2152.166748046875, 1153.1666259765625]]",no_raw_match
F1,Right,rx001-v5_r,../marked_images/landmarked_f1/marked_tiff/right/RX001-V5_R_MARK.tif,../marked_images/landmarked_f1/txt/right/RX001-V5_R.txt,../raw_images/f1/RX001-V5_R.tif,F1,36,36,roi,3840,2160,"[[1372.0, 925.0], [1350.8333740234375, 1120.8333740234375], [1506.8333740234375, 1222.1666259765625], [1753.5, 1184.8333740234375], [1882.833251953125, 1195.5], [1995.5, 1204.5], [2074.5, 1220.5], [2143.5, 1226.5], [2205.5, 1235.5], [2280.166748046875, 1235.8333740234375], [2385.0, 1199.5], [2480.5, 1130.5], [2532.5, 1044.5], [1843.8333740234375, 1061.8333740234375], [1897.166748046875, 1100.5], [1961.166748046875, 1096.5], [2001.166748046875, 1141.8333740234375], [2058.166748046875, 1125.8333740234375], [2092.833251953125, 1169.8333740234375], [2136.833251953125, 1139.8333740234375], [2153.5, 1183.8333740234375], [2196.833251953125, 1145.1666259765625], [2226.833251953125, 1172.5], [2284.833251953125, 1206.5], [2291.5, 1112.5], [2356.5, 1167.5], [2419.0, 1101.5], [2463.0, 1044.0], [1643.8333740234375, 947.8333129882812], [1640.5, 879.8333129882812], [1841.8333740234375, 989.8333129882812], [1959.166748046875, 1028.5], [2056.5, 1049.1666259765625], [2131.833251953125, 1056.5], [2194.5, 1060.5], [2287.833251953125, 1061.1666259765625]]",duplicate_txt_identical
F1,Right,rx001-v6_r,../marked_images/landmarked_f1/marked_tiff/right/RX001-V6_R_MARK.tif,../marked_images/landmarked_f1/txt/right/RX001-V6_R.txt,../raw_images/f1/RX001-V6_R.tif,F1,36,36,roi,3840,2160,"[[1386.0, 904.0], [1354.5, 1134.5], [1525.5, 1236.5], [1735.8333740234375, 1200.8333740234375], [1868.5, 1206.1666259765625], [1979.833251953125, 1213.5], [2067.166748046875, 1223.5], [2131.166748046875, 1233.5], [2192.5, 1242.1666259765625], [2252.5, 1244.5], [2356.0, 1210.5], [2454.5, 1142.5], [2509.5, 1051.0], [1836.5, 1047.1666259765625], [1901.166748046875, 1092.5], [1951.833251953125, 1094.5], [1993.166748046875, 1137.1666259765625], [2041.833251953125, 1120.5], [2070.5, 1171.1666259765625], [2117.833251953125, 1137.1666259765625], [2137.166748046875, 1187.8333740234375], [2183.833251953125, 1147.1666259765625], [2207.833251953125, 1176.5], [2252.5, 1216.5], [2273.166748046875, 1115.1666259765625], [2336.0, 1175.0], [2394.0, 1110.0], [2446.0, 1043.5], [1648.5, 933.8333129882812], [1642.5, 869.1666870117188], [1832.0, 982.0], [1947.0, 1023.5], [2038.0, 1043.0], [2112.5, 1051.8333740234375], [2179.166748046875, 1057.1666259765625], [2271.166748046875, 1062.5]]",duplicate_txt_identical
F1,Right,rx001-v8_r,../marked_images/landmarked_f1/marked_tiff/right/RX001-V8_R_MARK.tif,../marked_images/landmarked_f1/txt/right/RX001-V8_R.txt,../raw_images/f1/RX001-V8_R.tif,F1,36,36,roi,3840,2160,"[[1392.0, 912.0], [1369.5, 1125.5], [1548.5, 1217.5], [1755.8333740234375, 1185.5], [1875.1666259765625, 1194.1666259765625], [1979.833251953125, 1206.8333740234375], [2067.166748046875, 1220.1666259765625], [2133.5, 1227.5], [2204.5, 1228.5], [2268.5, 1230.5], [2375.0, 1198.5], [2466.5, 1135.5], [2527.5, 1052.5], [1840.1666259765625, 1042.5], [1901.5, 1095.8333740234375], [1954.833251953125, 1089.8333740234375], [1994.166748046875, 1140.5], [2050.833251953125, 1117.1666259765625], [2079.5, 1175.8333740234375], [2125.5, 1135.1666259765625], [2143.5, 1190.5], [2201.5, 1141.8333740234375], [2223.5, 1171.1666259765625], [2270.166748046875, 1201.8333740234375], [2278.833251953125, 1107.8333740234375], [2356.5, 1167.5], [2422.5, 1107.0], [2468.5, 1036.5], [1647.5, 936.5], [1644.8333740234375, 870.5], [1832.8333740234375, 975.8333129882812], [1948.166748046875, 1018.5], [2042.833251953125, 1037.1666259765625], [2118.5, 1047.5], [2194.5, 1051.5], [2278.5, 1054.5]]",duplicate_txt_identical
F1,Right,rx004-v1_r,../marked_images/landmarked_f1/marked_tiff/right/RX004-V1_R_MARK.tif,../marked_images/landmarked_f1/txt/right/RX004-V1_R.txt,../raw_images/f1/RX004-V1_R.tif,F1,36,36,roi,3840,2160,"[[1352.0, 888.0], [1339.5, 1109.5], [1506.5, 1219.5], [1722.5, 1190.5], [1857.5, 1191.5], [1971.5, 1203.5], [2068.5, 1227.5], [2132.5, 1230.5], [2206.5, 1233.5], [2276.5, 1233.5], [2388.5, 1196.1666259765625], [2474.5, 1132.5], [2539.5, 1048.5], [1835.1666259765625, 1040.1666259765625], [1900.5, 1089.5], [1960.5, 1086.1666259765625], [1999.166748046875, 1134.1666259765625], [2057.166748046875, 1115.5], [2082.5, 1159.5], [2134.5, 1131.5], [2157.5, 1174.5], [2213.166748046875, 1138.8333740234375], [2235.166748046875, 1164.1666259765625], [2281.833251953125, 1204.1666259765625], [2286.5, 1102.1666259765625], [2364.5, 1154.1666259765625], [2422.5, 1098.1666259765625], [2470.5, 1039.5], [1633.0, 927.0], [1628.5, 859.5], [1831.5, 966.8333129882812], [1956.5, 1008.5], [2048.5, 1027.5], [2128.5, 1041.5], [2208.5, 1050.5], [2286.166748046875, 1054.5]]",duplicate_txt_identical
F1,Right,rx005-v1_r,../marked_images/landmarked_f1/marked_tiff/right/RX005-V1_R_MARK.tif,../marked_images/landmarked_f1/txt/right/RX005-V1_R.txt,../raw_images/f1/RX005-V1_R.tif,F1,36,36,roi,3840,2160,"[[1380.0, 892.0], [1348.1666259765625, 1094.1666259765625], [1517.5, 1211.5], [1741.5, 1191.5], [1865.5, 1192.8333740234375], [1972.166748046875, 1202.1666259765625], [2060.166748046875, 1218.1666259765625], [2126.833251953125, 1222.1666259765625], [2181.5, 1226.1666259765625], [2244.166748046875, 1229.8333740234375], [2350.166748046875, 1199.1666259765625], [2440.16650390625, 1133.1666259765625], [2496.16650390625, 1047.8333740234375], [1846.5, 1024.5], [1897.5, 1082.5], [1954.5, 1075.5], [1994.5, 1131.5], [2037.5, 1105.5], [2067.5, 1154.5], [2113.5, 1123.5], [2130.5, 1171.5], [2174.5, 1132.5], [2197.5, 1157.5], [2241.5, 1203.5], [2258.5, 1110.5], [2325.5, 1163.5], [2390.5, 1100.5], [2427.5, 1037.0], [1649.5, 911.1666870117188], [1647.5, 843.8333129882812], [1844.5, 960.0], [1949.5, 1001.5], [2036.0, 1022.0], [2110.5, 1037.0], [2167.5, 1041.1666259765625], [2255.166748046875, 1047.1666259765625]]",duplicate_txt_identical
F1,Right,rx005-v2_r,../marked_images/landmarked_f1/marked_tiff/right/RX005-V2_R_MARK.tif,../marked_images/landmarked_f1/txt/right/RX005-V2_R.txt,../raw_images/f1/RX005-V2_R.tif,F1,36,36,roi,3840,2160,"[[1391.1666259765625, 899.5], [1355.1666259765625, 1135.5], [1516.5, 1224.8333740234375], [1759.5, 1192.5], [1882.5, 1198.5], [1993.5, 1203.5], [2081.5, 1217.5], [2156.5, 1224.5], [2227.5, 1230.5], [2297.0, 1232.5], [2409.5, 1205.8333740234375], [2505.5, 1145.1666259765625], [2572.83349609375, 1047.8333740234375], [1860.1666259765625, 1043.1666259765625], [1928.833251953125, 1089.8333740234375], [1992.166748046875, 1085.1666259765625], [2028.833251953125, 1139.8333740234375], [2088.833251953125, 1118.5], [2110.833251953125, 1168.5], [2165.5, 1131.8333740234375], [2184.833251953125, 1179.8333740234375], [2234.5, 1144.5], [2264.5, 1159.5], [2303.5, 1205.5], [2311.0, 1107.0], [2390.5, 1169.5], [2453.0, 1104.0], [2511.5, 1036.5], [1665.1666259765625, 924.1666870117188], [1661.8333740234375, 861.5], [1853.1666259765625, 966.8333129882812], [1987.166748046875, 1008.8333129882812], [2083.166748046875, 1030.8333740234375], [2159.166748046875, 1042.1666259765625], [2230.5, 1049.5], [2308.5, 1053.5]]",duplicate_txt_identical
F1,Right,rx006-v1_r,../marked_images/landmarked_f1/marked_tiff/right/RX006-V1_R_MARK.tif,../marked_images/landmarked_f1/txt/right/RX006-V1_R.txt,../raw_images/f1/RX006-V1_R.tif,F1,36,36,roi,3840,2160,"[[1390.0, 880.0], [1360.8333740234375, 1120.1666259765625], [1535.5, 1238.8333740234375], [1757.8333740234375, 1193.5], [1873.833251953125, 1189.5], [1976.5, 1197.5], [2059.166748046875, 1213.5], [2139.166748046875, 1212.1666259765625], [2193.833251953125, 1216.1666259765625], [2260.5, 1220.5], [2370.5, 1188.5], [2455.5, 1119.5], [2513.5, 1037.5], [1842.5, 1026.5], [1902.5, 1068.5], [1953.5, 1065.5], [1995.5, 1114.5], [2043.5, 1095.5], [2072.5, 1143.5], [2115.5, 1111.5], [2141.5, 1163.5], [2182.5, 1123.5], [2207.5, 1155.5], [2259.5, 1198.1666259765625], [2264.833251953125, 1092.8333740234375], [2343.5, 1156.0], [2403.5, 1092.5], [2444.83349609375, 1027.1666259765625], [1677.5, 917.5], [1675.5, 852.8333129882812], [1840.1666259765625, 952.8333129882812], [1948.166748046875, 994.1666870117188], [2036.833251953125, 1018.8333129882812], [2112.166748046875, 1032.8333740234375], [2177.0, 1039.5], [2261.0, 1044.0]]",duplicate_txt_identical
F1,Right,rx006-v2_r,../marked_images/landmarked_f1/marked_tiff/right/RX006-V2_R_MARK.tif,../marked_images/landmarked_f1/txt/right/RX006-V2_R.txt,../raw_images/f1/RX006-V2_R.tif,F1,36,36,roi,3840,2160,"[[1372.0, 936.0], [1344.8333740234375, 1150.8333740234375], [1491.5, 1217.5], [1729.5, 1177.5], [1861.5, 1183.5], [1966.5, 1197.5], [2066.5, 1209.5], [2136.5, 1215.5], [2219.5, 1223.5], [2278.5, 1220.8333740234375], [2391.83349609375, 1193.5], [2487.83349609375, 1132.1666259765625], [2556.5, 1052.1666259765625], [1838.1666259765625, 1053.5], [1913.5, 1102.8333740234375], [1966.166748046875, 1084.1666259765625], [2008.833251953125, 1137.5], [2066.166748046875, 1112.8333740234375], [2088.5, 1161.5], [2145.166748046875, 1130.1666259765625], [2163.5, 1177.1666259765625], [2217.833251953125, 1133.8333740234375], [2238.5, 1170.8333740234375], [2284.5, 1198.75], [2289.166748046875, 1114.5], [2362.5, 1155.1666259765625], [2431.83349609375, 1095.1666259765625], [2486.5, 1045.8333740234375], [1651.8333740234375, 946.8333129882812], [1651.8333740234375, 888.1666870117188], [1833.8333740234375, 980.8333129882812], [1965.166748046875, 1024.1666259765625], [2061.166748046875, 1044.1666259765625], [2143.166748046875, 1053.8333740234375], [2213.0, 1059.5], [2285.5, 1062.0]]",duplicate_txt_identical
F1,Right,rx006-v3_r,../marked_images/landmarked_f1/marked_tiff/right/RX006-V3_R_MARK.tif,../marked_images/landmarked_f1/txt/right/RX006-V3_R.txt,../raw_images/f1/RX006-V3_R.tif,F1,36,36,roi,3840,2160,"[[1373.0, 877.0], [1343.5, 1122.1666259765625], [1547.5, 1211.5], [1743.5, 1190.1666259765625], [1880.833251953125, 1196.8333740234375], [1987.5, 1208.8333740234375], [2079.166748046875, 1224.1666259765625], [2150.5, 1231.5], [2219.166748046875, 1236.8333740234375], [2284.166748046875, 1235.1666259765625], [2397.16650390625, 1198.8333740234375], [2488.5, 1134.1666259765625], [2547.16650390625, 1045.5], [1861.0, 1035.0], [1916.0, 1086.0], [1970.0, 1083.5], [2015.0, 1132.0], [2063.5, 1114.5], [2096.833251953125, 1170.5], [2147.5, 1133.8333740234375], [2168.166748046875, 1179.1666259765625], [2212.833251953125, 1137.8333740234375], [2236.166748046875, 1170.5], [2288.166748046875, 1201.8333740234375], [2290.5, 1107.8333740234375], [2372.5, 1163.5], [2440.5, 1097.0], [2486.5, 1035.0], [1666.5, 919.5], [1664.5, 861.0], [1859.5, 972.5], [1963.5, 1012.0], [2054.5, 1035.0], [2137.5, 1048.5], [2204.0, 1053.0], [2287.166748046875, 1055.8333740234375]]",duplicate_txt_identical
