group,angle,key,marked_tiff,txt,raw_image,raw_group,n_expected,n_found,landmark_source,image_width,image_height,landmarks_px_json,flags
F1,Bottom,rx001-v06_b,../marked_images/landmarked_f1/marked_tiff/bottom/RX001-V06_B_MARK.tif,../marked_images/landmarked_f1/txt/bottom/RX001-V06_B.txt,../raw_images/f1/RX001-V06_B.tif,F1,38,38,autolabel_v1.4,3840,2160,"[[2541.41, 1011.55], [2452.59, 1145.45], [2335.5, 1002.41], [2273.89, 1006.5], [2214.83, 1010.16], [2147.18, 1007.52], [2325.13, 1156.5], [2267.52, 1158.5], [2213.03, 1160.53], [2145.01, 1166.55], [1411.31, 1084.1], [1729.53, 938.73], [1737.85, 1221.55], [2334.33, 1095.79], [2387.0, 1079.64], [2442.49, 1065.32], [2496.11, 1043.46], [2362.76, 1109.83], [2394.68, 1117.72], [2426.13, 1127.55], [2388.05, 997.88], [2440.64, 997.5], [2493.38, 995.97], [2357.51, 1155.5], [2389.73, 1152.75], [2422.09, 1151.5], [2090.45, 995.24], [2030.34, 986.61], [1969.46, 985.23], [1909.35, 972.18], [1848.84, 965.42], [1788.74, 955.13], [2086.88, 1175.07], [2028.86, 1182.13], [1969.93, 1180.41], [1911.81, 1190.5], [1853.94, 1199.12], [1795.4, 1208.01]]",
F1,Bottom,rx001-v5_b,../marked_images/landmarked_f1/marked_tiff/bottom/RX001-V5_B_MARK.tif,../marked_images/landmarked_f1/txt/bottom/RX001-V5_B.txt,../raw_images/f1/RX001-V5_B.tif,F1,38,38,autolabel_v1.4,3840,2160,"[[2445.48, 1039.71], [2373.77, 1157.53], [2296.93, 1017.5], [2243.43, 1022.27], [2186.22, 1026.31], [2117.98, 1012.49], [2294.56, 1166.5], [2247.0, 1165.86], [2194.32, 1161.29], [2137.1, 1161.88], [1409.46, 1092.75], [1736.05, 981.49], [1701.2, 1211.12], [2311.3, 1102.38], [2367.75, 1084.45], [2387.94, 1109.32], [2399.36, 1076.01], [2327.64, 1115.07], [2345.23, 1126.99], [2361.92, 1140.39], [2336.23, 1017.44], [2375.62, 1016.5], [2414.71, 1020.56], [2314.96, 1165.57], [2335.27, 1163.66], [2355.66, 1163.91], [2064.31, 1002.44], [2009.68, 999.62], [1954.97, 994.5], [1900.28, 990.71], [1845.99, 982.5], [1791.06, 981.58], [2075.29, 1171.06], [2012.93, 1173.52], [1950.38, 1177.79], [1887.99, 1186.88], [1825.57, 1191.4], [1763.55, 1203.39]]",
F1,Bottom,rx001-v8_b,../marked_images/landmarked_f1/marked_tiff/bottom/RX001-V8_B_MARK.tif,../marked_images/landmarked_f1/txt/bottom/RX001-V8_B.txt,../raw_images/f1/RX001-V8_B.tif,F1,38,38,autolabel_v1.4,3840,2160,"[[2523.09, 1022.25], [2453.64, 1145.8], [2333.72, 1007.39], [2270.0, 1010.31], [2213.71, 1004.97], [2147.02, 997.04], [2335.41, 1154.35], [2276.15, 1157.5], [2220.94, 1153.66], [2153.26, 1155.12], [1437.4, 1086.29], [1734.23, 953.53], [1718.24, 1237.14], [2345.03, 1085.72], [2388.26, 1069.27], [2435.2, 1057.33], [2481.73, 1043.92], [2371.45, 1100.98], [2400.94, 1112.48], [2429.82, 1126.04], [2381.93, 1006.57], [2430.14, 1007.5], [2478.52, 1008.49], [2364.96, 1153.91], [2395.31, 1152.5], [2425.69, 1151.5], [2089.14, 986.09], [2030.99, 979.32], [1971.41, 983.48], [1912.06, 976.15], [1852.97, 970.3], [1793.16, 966.72], [2091.06, 1165.52], [2028.86, 1173.44], [1965.49, 1176.0], [1903.01, 1188.84], [1840.97, 1200.33], [1778.66, 1215.63]]",
F1,Bottom,rx001v4_b48,../marked_images/landmarked_f1/marked_tiff/bottom/RX001v4_B48_MARK.tif,../marked_images/landmarked_f1/txt/bottom/RX001v4_B48.txt,../raw_images/f1/RX001v4_B48.tif,F1,38,38,autolabel_v1.4,2560,1920,"[[2072.39, 946.3], [1982.59, 1123.43], [1835.36, 916.5], [1754.15, 920.32], [1669.05, 915.5], [1586.12, 911.37], [1827.1, 1139.56], [1753.83, 1137.5], [1666.65, 1134.53], [1580.02, 1136.87], [619.65, 1066.05], [987.53, 836.48], [1047.08, 1211.48], [1853.33, 1044.77], [1911.24, 1029.41], [1971.62, 1011.96], [2030.05, 988.68], [1886.02, 1064.26], [1921.55, 1080.03], [1952.96, 1102.44], [1896.79, 918.32], [1958.44, 917.98], [2019.99, 920.54], [1867.48, 1140.5], [1907.66, 1137.18], [1947.98, 1135.5], [1499.76, 905.03], [1414.03, 891.67], [1334.31, 892.45], [1247.1, 883.5], [1160.96, 866.67], [1073.2, 857.72], [1505.48, 1145.25], [1430.85, 1163.33], [1354.6, 1157.77], [1279.23, 1179.85], [1201.53, 1183.32], [1125.05, 1200.5]]",
F1,Bottom,rx001v7_b32,../marked_images/landmarked_f1/marked_tiff/bottom/RX001v7_B32_MARK.tif,../marked_images/landmarked_f1/txt/bottom/RX001v7_B32.txt,../raw_images/f1/RX001v7_B32.tif,F1,38,38,autolabel_v1.4,2560,1920,"[[2050.37, 1015.36], [1932.62, 1208.08], [1738.78, 978.5], [1648.98, 976.5], [1567.98, 972.84], [1489.01, 964.72], [1717.26, 1213.7], [1637.86, 1210.83], [1556.51, 1206.85], [1477.74, 1204.5], [527.39, 1018.65], [1063.4, 869.89], [1063.91, 1232.66], [1735.33, 1103.22], [1815.9, 1090.47], [1898.22, 1074.81], [1979.22, 1053.56], [1783.46, 1131.17], [1837.03, 1151.17], [1889.84, 1173.69], [1818.47, 981.59], [1897.79, 986.5], [1977.56, 988.6], [1771.27, 1216.5], [1825.55, 1215.49], [1879.75, 1212.5], [1428.71, 958.47], [1369.35, 938.0], [1308.08, 934.9], [1246.73, 918.41], [1186.06, 900.37], [1124.53, 888.28], [1418.3, 1209.71], [1358.93, 1207.59], [1299.74, 1211.73], [1241.68, 1212.74], [1182.52, 1221.21], [1123.26, 1223.45]]",
F1,Bottom,rx004-v1_b,../marked_images/landmarked_f1/marked_tiff/bottom/RX004-V1_B_MARK.tif,../marked_images/landmarked_f1/txt/bottom/RX004-V1_B.txt,../raw_images/f1/RX004-V1_B.tif,F1,38,38,autolabel_v1.4,3840,2160,"[[2495.46, 1007.05], [2419.99, 1145.15], [2341.5, 988.43], [2283.97, 987.5], [2226.45, 986.39], [2162.98, 986.48], [2332.44, 1154.41], [2286.73, 1155.5], [2223.45, 1155.04], [2161.81, 1157.27], [1444.48, 1089.31], [1714.73, 928.8], [1733.29, 1224.46], [2334.28, 1090.18], [2377.2, 1075.58], [2422.48, 1062.01], [2464.03, 1039.23], [2356.55, 1101.03], [2379.05, 1114.53], [2402.17, 1127.39], [2381.38, 989.5], [2421.27, 988.3], [2460.91, 990.34], [2354.75, 1152.5], [2377.05, 1150.5], [2399.54, 1150.5], [2099.42, 980.22], [2034.88, 974.66], [1970.25, 971.72], [1906.01, 962.5], [1841.91, 953.6], [1777.71, 944.05], [2100.4, 1165.3], [2040.4, 1174.54], [1978.63, 1173.99], [1917.62, 1187.5], [1855.59, 1195.87], [1793.69, 1206.61]]",
F1,Bottom,rx005-v1_b,../marked_images/landmarked_f1/marked_tiff/bottom/RX005-V1_B_MARK.tif,../marked_images/landmarked_f1/txt/bottom/RX005-V1_B.txt,../raw_images/f1/RX005-V1_B.tif,F1,38,38,autolabel_v1.4,3840,2160,"[[2481.42, 1012.67], [2405.96, 1139.24], [2310.69, 997.21], [2262.8, 998.38], [2207.2, 1000.47], [2138.05, 998.66], [2306.96, 1149.49], [2259.3, 1149.95], [2202.34, 1155.75], [2141.84, 1157.91], [1400.49, 1077.7], [1736.44, 934.64], [1693.21, 1214.1], [2322.03, 1093.26], [2363.83, 1077.94], [2407.77, 1062.98], [2449.62, 1042.93], [2342.2, 1104.97], [2365.6, 1113.55], [2388.27, 1123.81], [2354.51, 997.5], [2398.31, 997.5], [2442.2, 998.56], [2332.26, 1147.5], [2357.56, 1145.5], [2382.95, 1146.42], [2082.2, 987.5], [2024.19, 980.7], [1966.16, 978.16], [1909.06, 966.34], [1851.61, 955.61], [1793.47, 948.45], [2075.85, 1164.11], [2010.12, 1173.46], [1949.34, 1160.5], [1892.55, 1179.53], [1826.39, 1191.5], [1759.19, 1199.62]]",
F1,Bottom,rx005-v2_b,../marked_images/landmarked_f1/marked_tiff/bottom/RX005-V2_B_MARK.tif,../marked_images/landmarked_f1/txt/bottom/RX005-V2_B.txt,../raw_images/f1/RX005-V2_B.tif,F1,38,38,autolabel_v1.4,3840,2160,"[[2477.16, 1004.23], [2400.6, 1122.6], [2354.55, 990.5], [2314.84, 989.5], [2261.03, 991.49], [2205.42, 992.92], [2345.81, 1131.56], [2312.2, 1135.5], [2261.11, 1142.49], [2211.15, 1146.26], [1422.5, 1099.45], [1785.03, 955.64], [1729.1, 1222.7], [2337.28, 1077.86], [2373.82, 1063.91], [2412.56, 1050.64], [2447.89, 1030.23], [2351.99, 1089.81], [2369.22, 1099.86], [2387.15, 1108.6], [2386.45, 989.5], [2418.34, 988.5], [2450.06, 991.36], [2360.19, 1130.5], [2374.67, 1130.5], [2389.04, 1129.32], [2147.9, 983.69], [2087.61, 980.01], [2026.92, 977.69], [1966.55, 974.02], [1905.61, 970.68], [1845.61, 962.96], [2141.62, 1153.5], [2071.85, 1161.92], [2002.77, 1173.34], [1934.04, 1175.9], [1865.39, 1189.98], [1796.95, 1203.53]]",
F1,Bottom,rx006-v1_b,../marked_images/landmarked_f1/marked_tiff/bottom/RX006-V1_B_MARK.tif,../marked_images/landmarked_f1/txt/bottom/RX006-V1_B.txt,../raw_images/f1/RX006-V1_B.tif,F1,38,38,autolabel_v1.4,3840,2160,"[[2529.03, 1010.94], [2448.22, 1149.59], [2325.21, 1001.31], [2267.53, 1004.75], [2208.35, 1005.69], [2147.45, 998.72], [2328.05, 1156.5], [2276.61, 1157.73], [2211.58, 1157.77], [2155.17, 1160.47], [1422.28, 1085.19], [1763.51, 948.98], [1766.27, 1236.61], [2319.3, 1084.57], [2372.2, 1069.47], [2427.4, 1055.7], [2481.73, 1038.8], [2351.57, 1099.07], [2385.77, 1114.03], [2420.19, 1127.8], [2377.01, 999.54], [2428.84, 998.5], [2480.72, 997.5], [2358.35, 1156.5], [2388.66, 1154.76], [2418.89, 1153.5], [2095.25, 987.83], [2039.86, 984.17], [1984.53, 979.42], [1929.01, 973.88], [1873.72, 969.05], [1817.73, 964.63], [2099.72, 1171.35], [2043.18, 1175.82], [1986.86, 1181.5], [1931.29, 1192.47], [1875.01, 1200.62], [1819.85, 1216.17]]",
F1,Bottom,rx006-v2_b,../marked_images/landmarked_f1/marked_tiff/bottom/RX006-V2_B_MARK.tif,../marked_images/landmarked_f1/txt/bottom/RX006-V2_B.txt,../raw_images/f1/RX006-V2_B.tif,F1,38,38,autolabel_v1.4,3840,2160,"[[2547.75, 1018.14], [2456.92, 1159.53], [2354.23, 1008.5], [2286.41, 1008.27], [2225.42, 1010.54], [2163.44, 1005.67], [2344.03, 1167.5], [2298.26, 1167.52], [2228.97, 1164.51], [2169.97, 1165.88], [1434.45, 1079.92], [1809.53, 971.17], [1888.71, 1198.47], [2350.32, 1095.69], [2400.42, 1081.51], [2453.6, 1068.24], [2504.26, 1047.12], [2377.65, 1110.08], [2406.54, 1123.54], [2434.83, 1137.62], [2403.44, 1005.5], [2452.82, 1004.5], [2502.12, 1004.49], [2373.0, 1167.5], [2401.89, 1166.49], [2430.69, 1164.56], [2113.56, 996.59], [2062.47, 994.5], [2012.48, 985.49], [1961.13, 981.92], [1910.78, 971.1], [1859.59, 968.49], [2129.75, 1169.54], [2089.09, 1171.44], [2049.01, 1175.81], [2008.98, 1176.41], [1969.15, 1183.82], [1929.2, 1192.06]]",
