group,angle,key,marked_tiff,txt,raw_image,raw_group,n_expected,n_found,landmark_source,image_width,image_height,landmarks_px_json,flags
F1,Bottom,rx001-v06_b,Landmarked_F1/marked_tiff/Bottom/RX001-V06_B_MARK.tif,Landmarked_F1/txt/Bottom/RX001-V06_B.txt,Raw_Images/F1/RX001-V06_B.tif,F1,17,17,roi,3840,2160,"[[2545.0, 1010.0], [2339.166748046875, 1018.1666870117188], [2275.166748046875, 1024.1666259765625], [2214.5, 1020.1666870117188], [2144.5, 1014.1666870117188], [2320.166748046875, 1089.5], [2300.833251953125, 1086.8333740234375], [2242.5, 1083.1666259765625], [2169.833251953125, 1089.5], [2243.5, 1093.8333740234375], [2297.5, 1093.8333740234375], [2320.166748046875, 1096.8333740234375], [2466.833251953125, 1146.8333740234375], [2325.833251953125, 1139.8333740234375], [2267.166748046875, 1146.1666259765625], [2206.5, 1149.5], [2143.5, 1150.8333740234375]]",
F1,Bottom,rx001-v5_b,Landmarked_F1/marked_tiff/Bottom/RX001-V5_B_MARK.tif,Landmarked_F1/txt/Bottom/RX001-V5_B.txt,Raw_Images/F1/RX001-V5_B.tif,F1,17,17,roi,3840,2160,"[[2448.833251953125, 1039.8333740234375], [2297.5, 1036.5], [2246.833251953125, 1034.5], [2186.166748046875, 1033.1666259765625], [2117.5, 1023.5], [2308.666748046875, 1095.5], [2287.75, 1087.5], [2235.25, 1082.5], [2173.0, 1088.0], [2234.0, 1093.0], [2290.0, 1098.5], [2309.333251953125, 1107.1666259765625], [2384.166748046875, 1160.6666259765625], [2293.5, 1149.0], [2249.166748046875, 1152.1666259765625], [2198.5, 1150.8333740234375], [2139.0, 1157.0]]",
F1,Bottom,rx001-v8_b,Landmarked_F1/marked_tiff/Bottom/RX001-V8_B_MARK.tif,Landmarked_F1/txt/Bottom/RX001-V8_B.txt,Raw_Images/F1/RX001-V8_B.tif,F1,17,17,roi,3840,2160,"[[2528.0, 1023.0], [2334.0, 1021.5], [2271.0, 1019.0], [2212.5, 1009.5], [2138.5, 1009.5], [2319.666748046875, 1079.3333740234375], [2291.166748046875, 1071.0], [2240.0, 1067.0], [2197.0, 1075.0], [2252.5, 1078.0], [2301.166748046875, 1083.5], [2320.0, 1086.3333740234375], [2463.5, 1146.5], [2328.5, 1135.0], [2276.5, 1137.0], [2221.0, 1140.0], [2150.5, 1141.5]]",
F1,Bottom,rx001v4_b48,Landmarked_F1/marked_tiff/Bottom/RX001v4_B48_MARK.tif,Landmarked_F1/txt/Bottom/RX001v4_B48.txt,Raw_Images/F1/RX001v4_B48.tif,F1,17,17,roi,2560,1920,"[[2071.0, 947.0], [1837.5, 957.0], [1758.0, 956.0], [1670.0, 942.5], [1584.5, 937.5], [1843.1666259765625, 1037.8333740234375], [1810.1666259765625, 1011.1666870117188], [1730.1666259765625, 1005.5], [1658.0, 1031.0], [1735.5, 1051.5], [1801.5, 1051.0], [1842.8333740234375, 1048.5], [1985.5, 1123.5], [1825.1666259765625, 1098.8333740234375], [1754.5, 1095.5], [1669.0, 1105.5], [1576.0, 1108.5]]",
F1,Bottom,rx001v7_b32,Landmarked_F1/marked_tiff/Bottom/RX001v7_B32_MARK.tif,Landmarked_F1/txt/Bottom/RX001v7_B32.txt,Raw_Images/F1/RX001v7_B32.tif,F1,17,17,roi,2560,1920,"[[2051.0, 1016.0], [1738.1666259765625, 1019.5], [1648.0, 1010.5], [1560.5, 1001.5], [1474.5, 994.5], [1723.5, 1096.1666259765625], [1682.5, 1079.8333740234375], [1596.1666259765625, 1075.5], [1569.1666259765625, 1085.8333740234375], [1598.1666259765625, 1098.5], [1666.5, 1102.8333740234375], [1724.0, 1105.1666259765625], [1937.5, 1208.5], [1725.1666259765625, 1179.1666259765625], [1644.5, 1181.5], [1560.5, 1174.5], [1477.5, 1177.5]]",
F1,Bottom,rx004-v1_b,Landmarked_F1/marked_tiff/Bottom/RX004-V1_B_MARK.tif,Landmarked_F1/txt/Bottom/RX004-V1_B.txt,Raw_Images/F1/RX004-V1_B.tif,F1,17,17,roi,3840,2160,"[[2496.0, 1006.0], [2335.5, 1014.1666870117188], [2283.5, 1011.5], [2227.5, 1010.1666870117188], [2158.166748046875, 1006.1666870117188], [2339.375, 1085.0], [2312.166748046875, 1082.8333740234375], [2259.5, 1080.1666259765625], [2208.833251953125, 1078.8333740234375], [2262.166748046875, 1089.5], [2312.166748046875, 1092.1666259765625], [2340.125, 1095.875], [2427.166748046875, 1146.8333740234375], [2331.166748046875, 1142.8333740234375], [2285.833251953125, 1142.1666259765625], [2225.166748046875, 1146.8333740234375], [2160.5, 1154.8333740234375]]",
F1,Bottom,rx005-v1_b,Landmarked_F1/marked_tiff/Bottom/RX005-V1_B_MARK.tif,Landmarked_F1/txt/Bottom/RX005-V1_B.txt,Raw_Images/F1/RX005-V1_B.tif,F1,17,17,roi,3840,2160,"[[2487.0, 1011.0], [2315.166748046875, 1021.1666870117188], [2264.5, 1021.8333129882812], [2204.5, 1017.1666870117188], [2134.5, 1017.1666870117188], [2305.5, 1089.8333740234375], [2286.833251953125, 1085.0], [2235.5, 1084.0], [2195.166748046875, 1088.3333740234375], [2244.333251953125, 1095.0], [2289.333251953125, 1094.6666259765625], [2305.666748046875, 1095.3333740234375], [2416.5, 1140.1666259765625], [2307.166748046875, 1140.5], [2259.5, 1147.1666259765625], [2201.833251953125, 1155.5], [2140.5, 1153.1666259765625]]",
F1,Bottom,rx005-v2_b,Landmarked_F1/marked_tiff/Bottom/RX005-V2_B_MARK.tif,Landmarked_F1/txt/Bottom/RX005-V2_B.txt,Raw_Images/F1/RX005-V2_B.tif,F1,17,17,roi,3840,2160,"[[2479.5, 1003.0], [2354.5, 1012.0], [2314.5, 1015.0], [2261.0, 1014.0], [2202.0, 1013.0], [2330.25, 1072.0], [2300.75, 1068.0], [2253.25, 1065.75], [2217.0, 1073.0], [2252.0, 1080.5], [2301.0, 1080.0], [2330.75, 1080.5], [2409.75, 1124.0], [2345.166748046875, 1122.8333740234375], [2311.5, 1124.5], [2258.833251953125, 1133.8333740234375], [2209.833251953125, 1141.8333740234375]]",
F1,Bottom,rx006-v1_b,Landmarked_F1/marked_tiff/Bottom/RX006-V1_B_MARK.tif,Landmarked_F1/txt/Bottom/RX006-V1_B.txt,Raw_Images/F1/RX006-V1_B.tif,F1,17,17,roi,3840,2160,"[[2534.0, 1011.0], [2328.833251953125, 1013.1666870117188], [2268.833251953125, 1010.5], [2208.166748046875, 1010.5], [2137.5, 1008.5], [2328.125, 1076.625], [2291.75, 1074.0], [2233.75, 1069.0], [2186.0, 1076.5], [2236.0, 1084.0], [2292.5, 1085.5], [2328.5, 1087.9166259765625], [2463.0, 1153.0], [2328.5, 1141.5], [2274.5, 1143.5], [2212.5, 1149.5], [2156.0, 1158.5]]",
F1,Bottom,rx006-v2_b,Landmarked_F1/marked_tiff/Bottom/RX006-V2_B_MARK.tif,Landmarked_F1/txt/Bottom/RX006-V2_B.txt,Raw_Images/F1/RX006-V2_B.tif,F1,17,17,roi,3840,2160,"[[2552.0, 1018.0], [2354.0, 1022.5], [2288.5, 1027.0], [2225.0, 1021.75], [2155.5, 1019.5], [2359.0, 1087.5], [2315.5, 1084.5], [2260.75, 1077.75], [2216.0, 1085.0], [2265.25, 1090.0], [2316.75, 1091.0], [2359.25, 1096.5], [2470.833251953125, 1161.8333740234375], [2344.166748046875, 1145.8333740234375], [2298.833251953125, 1150.5], [2228.166748046875, 1153.8333740234375], [2168.166748046875, 1153.8333740234375]]",
