ID,species,centroid_size_bottom,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28,Comp29,Comp30,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,cut_edge_length_bot,noncut_edge_length_bot1,noncut_edge_length_bot2,distance_to_tip,inner_angle,left_width_sut8,left_width_sut7,right_width_sut8,right_width_sut7,bottom_width
FEB1xPBX012-1-V35,LBX,0.489603549,-0.246297577,-0.057350216,0.070050058,-0.041498267,-0.043712764,-0.030885209,-0.015843583,-0.022398053,0.012281192,0.019341606,-0.016906805,-0.008617217,-0.008563968,-0.010877368,-0.003150512,-0.005048471,-0.008497402,-0.004355425,-0.003155756,-0.003951131,-0.002058452,0.003763797,0.005264825,0.004653828,-0.001139831,0.00018304,-0.000472525,-0.002855397,0.001763924,-0.001595442,2.698,1.1597,2.4477,1.1483,2.3932,1.1419,2.335,1.1305,2.2681,1.1203,2.4693,1.2059,2.3993,1.19,2.3245,1.1868,2.4399,1.2091,2.3306,1.2116,2.3997,1.2149,2.4691,1.2164,2.6143,1.247,2.4439,1.2504,2.3885,1.2587,2.3314,1.2666,2.267,1.2727,0.233319802,0.148389353,0.150712342,0.120942052,27.24599009,0.056691181,0.074637926,0.063886227,0.08207131,0.102170691
FEB1xPBX013-1-V12,LBX,0.41939154,-0.056201135,0.00454289,-0.11543936,0.003613498,0.011138571,-0.011826697,-0.012300604,-0.007379157,0.002130425,-0.002474973,-0.010262844,-0.010432194,-0.007170685,-0.009959063,0.013904826,0.00700007,-0.001657985,0.016148701,0.007933319,0.000654141,-0.00477897,-0.004052934,-0.005357564,-0.00230152,0.005182428,-0.003939314,0.002787597,0.003758245,-0.007801083,0.001011657,2.7379,1.123,2.5507,1.1311,2.4968,1.1239,2.432,1.1203,2.3716,1.1124,2.5405,1.1893,2.5294,1.1769,2.4738,1.1764,2.4693,1.188,2.4825,1.199,2.5334,1.2044,2.5405,1.1908,2.6553,1.2487,2.5388,1.2487,2.4921,1.2533,2.4324,1.2576,2.377,1.2616,0.208236524,0.128574686,0.129257108,0.150410272,45.92348461,0.044627906,0.055142089,0.050510692,0.0573171,0.11820055
FEB1xPBX013-1-V18,LBX,0.535069495,-0.147105128,0.147229366,-0.073620079,-0.019910254,0.115310237,0.076040066,-0.027387732,-0.014594493,-0.035511723,0.013743598,-0.005069811,0.012258134,0.020802346,-0.02489829,0.007573755,0.005235897,-0.002237241,-0.000838193,-0.012757917,-8.08E-05,0.006249747,-0.005785133,0.000783855,-0.00548467,-0.002304043,-0.000396021,-0.001500242,0.003592872,0.004334721,8.05E-05,2.7044,1.1413,2.431,1.135,2.3716,1.1275,2.3053,1.1235,2.2306,1.1192,2.4878,1.1992,2.4635,1.1836,2.4162,1.18,2.4056,1.1895,2.4115,1.2044,2.4662,1.2051,2.4878,1.1996,2.6262,1.267,2.4331,1.2522,2.3641,1.2591,2.3015,1.2602,2.2314,1.2702,0.224205196,0.153939339,0.154114892,0.148039623,41.06549868,0.057567526,0.072379901,0.05846546,0.068886936,0.117218812
KMM20-V09,LBX,0.44755353,-0.033994336,0.039198745,-0.091013081,-0.012454914,0.033757546,0.012136114,0.005193506,0.018217339,0.014376888,-0.01824831,-0.015227219,-0.015763725,0.021363609,-0.011442742,-0.000731311,-0.008061507,-0.005821527,0.00241273,-0.001099392,0.007392761,-0.012780819,0.005786427,0.003550778,-0.001301999,-0.004859676,-0.001742247,0.001616067,-0.000255898,0.000368803,0.000930352,2.7087,1.0971,2.4935,1.1068,2.4401,1.1041,2.3781,1.0971,2.3004,1.0879,2.4935,1.1663,2.4863,1.1465,2.432,1.1447,2.4036,1.1674,2.4328,1.1807,2.4827,1.1791,2.4935,1.1668,2.6129,1.2246,2.496,1.2163,2.4421,1.2238,2.3731,1.2289,2.3096,1.2314,0.226052383,0.132654438,0.13287306,0.159480061,43.85087004,0.039506075,0.044091949,0.040347615,0.041400121,0.109528535
KMM20-V10,LBX,0.491238263,-0.08651087,-0.016215431,-0.051543314,-0.02233845,0.007256701,0.022444897,0.010326689,0.002579527,0.00408643,-0.005943308,0.003147019,-0.011124084,-0.001469477,-0.008152207,-0.007751295,-0.005250621,-0.000537524,-0.000199696,-0.001597907,5.92E-06,-0.003309642,-0.00199936,-0.004742006,-0.006376421,-0.005342945,-0.003609817,-0.005372256,-0.008485071,0.002633544,0.00063367,2.7152,1.0987,2.4784,1.1046,2.4186,1.1046,2.3501,1.0949,2.2745,1.0906,2.4714,1.1695,2.4488,1.1553,2.3878,1.1472,2.3964,1.1674,2.391,1.1839,2.4477,1.1828,2.4715,1.1715,2.6246,1.2389,2.4703,1.2292,2.4137,1.2287,2.3495,1.2357,2.2724,1.2411,0.253872173,0.167279317,0.168186206,0.166926331,40.5640517,0.051611239,0.050222804,0.058708177,0.052568051,0.124863005
KMM20-V29,LBX,0.458136462,-0.126165381,0.019225419,-0.091508154,-0.024759926,0.020461664,-0.034913682,0.019285983,-0.005723338,-0.016007176,0.011099068,-0.008309865,-0.010692575,0.011895264,-0.009462377,-0.007468654,0.004867143,0.000856338,-0.005529529,-0.004661248,0.003908496,-0.006855739,0.005127354,0.003249227,-0.005849415,0.000178083,-0.003316289,-0.000872972,-0.00249949,-0.005084998,0.000570454,2.6872,1.0798,2.4702,1.0908,2.413,1.0886,2.3515,1.0872,2.2799,1.08,2.4724,1.1638,2.4533,1.1505,2.3957,1.1487,2.4173,1.1677,2.3957,1.1739,2.4471,1.1749,2.4724,1.1659,2.5925,1.2087,2.4617,1.2131,2.4045,1.2206,2.3484,1.2284,2.2756,1.2341,0.230640499,0.127498431,0.128218641,0.159947804,41.85706648,0.040894987,0.04752189,0.062045951,0.062540387,0.122595024
KMM5-V11,LBX,0.512062177,-0.04432728,-0.039351258,-0.043336759,0.00182233,0.018581454,0.023341538,0.044616695,0.007030532,0.011527349,-0.005355587,0.002509835,0.012052336,-0.01379303,0.010348692,0.00779942,0.000591644,0.011201027,0.00665092,-0.005428453,0.002492797,-0.000801029,0.004318863,-0.001407657,6.62E-05,-0.001939276,0.002413173,-5.91E-05,-0.00136615,0.001032803,-0.001531825,2.7009,1.0933,2.4725,1.103,2.4045,1.1036,2.3328,1.0998,2.2619,1.099,2.454,1.1753,2.4338,1.1519,2.3706,1.1512,2.3511,1.176,2.3688,1.1972,2.4248,1.1972,2.4539,1.1842,2.6259,1.2469,2.4529,1.2371,2.3957,1.2415,2.3252,1.2472,2.2533,1.2494,0.260160739,0.183071817,0.186215386,0.170932618,40.98503413,0.048801844,0.051827599,0.062361046,0.058437745,0.135524795
LBX001V02,LBX,0.434510238,-0.005825722,0.021402022,-0.052885584,-0.029708699,0.042018594,0.018327179,0.010074748,0.01132074,0.023213897,-0.024080053,-0.009630558,-0.017981146,0.006081056,-0.004924048,-0.006191961,-0.021894082,-0.014319974,-0.001052743,0.003320578,0.015039865,0.00173851,0.000125213,0.002367432,0.005379011,-0.000253488,0.005982919,-0.004195097,0.002836245,-0.003681975,0.001205227,2.7961,1.1305,2.5852,1.1451,2.5332,1.1335,2.4788,1.126,2.395,1.1192,2.5771,1.1929,2.5728,1.1696,2.5165,1.1683,2.4819,1.1872,2.5191,1.2052,2.5701,1.2047,2.5772,1.1933,2.7071,1.2411,2.5809,1.2382,2.532,1.2429,2.4684,1.2479,2.4026,1.254,0.227716403,0.138415498,0.138647899,0.14196253,36.24715285,0.035197869,0.039845953,0.027459243,0.038599611,0.093199249
LBX001V06,LBX,0.435850761,-0.022772476,0.059332175,-0.004334734,0.00656462,0.022769485,0.017060833,-0.009909797,0.015137012,0.016408785,-0.015365036,0.012326426,-0.00782547,0.000921397,-0.003607065,-0.013656925,-0.005189078,-0.000888383,-0.004111255,0.00370002,0.000777401,0.002143796,0.001719705,0.005392579,-0.007119558,-0.001196094,-0.001968025,0.003322852,-0.002400059,0.001161645,0.00160797,2.7654,1.1127,2.5647,1.1099,2.5054,1.106,2.4446,1.0976,2.3713,1.0894,2.5726,1.1601,2.5421,1.1429,2.4892,1.1373,2.4564,1.154,2.4906,1.164,2.5396,1.1659,2.5726,1.1604,2.6859,1.2098,2.5577,1.2044,2.5062,1.2095,2.4471,1.2157,2.3716,1.2222,0.19854118,0.123601173,0.123721381,0.125493665,37.49733282,0.042542449,0.0481,0.039997,0.035243865,0.094758905
LBX001V07,LBX,0.484196884,-0.259266986,0.002709434,0.003869548,-0.055762715,-0.022082456,-0.015268659,-0.042333356,0.008299907,0.004786447,0.006015361,-0.004516008,0.005535883,-0.001713199,-0.019019777,-0.017927137,0.002808888,-0.003447388,-0.000361933,0.0125918,-0.001266596,0.006404056,0.008537383,0.007603909,0.00619022,-0.000936193,-0.000324591,0.002009594,-0.002796495,0.000286412,-0.001388376,2.7384,1.1041,2.4946,1.1012,2.4342,1.0948,2.3785,1.0825,2.3085,1.0712,2.5202,1.1518,2.4598,1.1365,2.4048,1.1338,2.5057,1.1556,2.4067,1.157,2.4601,1.1602,2.5203,1.1615,2.6537,1.199,2.4989,1.2055,2.4444,1.2147,2.3781,1.2244,2.3042,1.2292,0.223352927,0.138570596,0.14159834,0.127201022,31.80271409,0.059645033,0.068924451,0.049569446,0.048840147,0.104388601
