ID,species,centroid_size_left,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28,Comp29,Comp30,Comp31,Comp32,Comp33,Comp34,Comp35,Comp36,Comp37,Comp38,Comp39,Comp40,Comp41,Comp42,Comp43,Comp44,Comp45,Comp46,Comp47,Comp48,Comp49,Comp50,Comp51,Comp52,Comp53,Comp54,Comp55,Comp56,Comp57,Comp58,Comp59,Comp60,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,Cutwindow_length_left,Sut1_length_left,Sut2_length_left,Sut3_length_left,Sut4_length_left,Sut5_length_left,Sut6_length_left,Arc1_width_left,Arc2_width_left,Arc3_width_left,Arc4_width_left,Arc5_width_left,Leftface_length,noncut_edge_length,Intersect_to_top_dist_left,dist_arc2_arc3_left,dist_arc3_arc4_left,dist_arc4_arc5_left,Leftface_height1,Leftface_height2,Leftface_height3,Leftface_height4,Leftface_height5,Leftface_height6,Leftface_height7
FEB1xPBX012-1-V35,LBX,1.786663786,0.002284849,0.001197641,-0.013616737,-0.00983609,-0.003719951,-0.037009935,-0.033453991,-0.005594407,0.011016398,-0.017591721,0.025515195,5.88E-06,0.005107943,-0.030346739,-0.030356769,-0.011748982,-0.036762639,0.020132997,0.014288857,-0.011417491,-8.61E-05,-0.011649856,-0.004974176,0.003505439,-0.003079635,0.000131351,0.005618894,0.004143476,0.00333833,0.004889003,0.001769743,0.004231829,-0.000355122,-0.001182942,0.000641749,-0.000420613,0.001363266,0.000753372,-0.002074651,-0.000339369,-0.000889295,-0.000988488,-0.000908766,0.000248808,0.000630526,-7.08E-05,0.000967844,0.000885785,-0.000213188,-0.000184732,2.05E-06,0.000308901,3.69E-05,-0.000419198,-0.000176661,6.52E-05,-0.000257554,7.90E-05,2.75E-05,-0.000357872,2.6082,0.9883,2.6456,1.2098,2.5478,1.286,2.2735,1.2724,2.1354,1.2853,1.9035,1.3166,1.9995,1.3026,1.8441,1.3317,1.7686,1.3393,1.6974,1.349,1.6046,1.3112,1.5302,1.2418,1.4606,1.1634,2.1411,1.1329,2.062,1.1947,1.9995,1.1832,1.9542,1.2364,1.8937,1.2199,1.8714,1.2738,1.8089,1.2364,1.7931,1.2839,1.7377,1.2515,1.7292,1.2988,1.63,1.2152,2.3428,1.041,2.3414,0.9635,2.1375,1.0649,1.9935,1.1138,1.8867,1.1413,1.8042,1.1532,1.7298,1.1613,1.6289,1.1629,0.517683784,0.192327871,0.116601544,0.094881663,0.131297563,0.069898784,0.056503186,0.13870119,0.234002778,0.097015463,0.158101139,0.075881552,1.160881463,0.300868077,3.92E-06,0.111984508,0.086390335,0.072783583,0.225017888,0.205184429,0.245891134,0.17610318,0.222593486,0.248097259,1.103573926
FEB1xPBX013-1-V12,LBX,1.758694889,0.014304942,-0.007281347,-0.004658221,-0.016045928,-0.000903065,-0.003573519,0.000475614,-0.000437559,0.014454679,0.002397137,0.011716641,0.001125635,0.002781552,-0.002662195,0.002879933,6.07E-05,0.002102864,-0.004514896,0.000283528,0.005734207,-1.49E-05,0.000644837,0.005364658,-0.003580945,0.000112258,-0.001391892,0.003022842,0.000517146,-0.004218878,0.001346763,-0.001875599,-0.001182106,0.001571652,0.001364447,0.000216428,0.001097769,-0.001225947,-0.001150312,-0.001352191,0.001557637,-0.00064194,-0.002009404,-0.001391366,-0.000459586,-0.000358028,0.000163298,0.001267427,-0.000636858,0.000556805,-0.001351124,0.000711286,0.000646445,0.000974224,-8.01E-05,0.000900402,0.000298331,0.000177774,0.000123981,-0.000498709,-6.19E-05,2.5885,1.0707,2.6208,1.2681,2.4773,1.363,2.2379,1.3285,2.0901,1.3371,1.9639,1.3565,1.8614,1.3695,1.7988,1.3759,1.7233,1.3857,1.6505,1.3867,1.5701,1.3544,1.5043,1.2972,1.4326,1.2217,2.1099,1.19,2.0257,1.2497,1.9703,1.244,1.92,1.2922,1.8603,1.2756,1.8323,1.3202,1.7754,1.29,1.756,1.3288,1.7114,1.3008,1.6891,1.3367,1.6316,1.2724,2.295,1.094,2.2936,1.0221,2.1099,1.1102,1.9664,1.1631,1.8571,1.1882,1.7708,1.199,1.7082,1.2066,1.6316,1.212,0.485345908,0.188590164,0.108563898,0.07785692,0.057247707,0.063641574,0.059754832,0.148049992,0.127682419,0.103321101,0.062926306,0.07613337,1.165721154,0.273322904,3.92E-06,0.114448941,0.086112543,0.064904853,0.196419398,0.192017838,0.193076695,0.199326692,0.213489321,0.253059064,0.991074755
FEB1xPBX013-1-V18,LBX,1.772683389,0.02367119,-0.027016946,-0.009703056,-0.003632747,0.003480475,-0.010267119,0.011751597,0.013428199,0.00506691,0.007039055,0.008263701,0.007207112,-0.003183376,0.003763049,0.005793877,-0.000591287,-0.00453515,0.001797597,-0.002650707,0.006282729,-0.004211296,-0.004828937,0.005241396,-0.00556805,0.004460173,0.001618146,1.00E-05,-0.002894969,-0.002339455,-0.00091116,-0.002038183,0.004440121,-0.00179732,-0.000133314,0.000873014,0.001297246,-0.001489847,-0.002057934,-0.0024084,0.001717541,-0.000475078,0.000381069,0.00014308,-0.000504764,0.000856272,-0.00031217,-0.001012116,-0.001228691,0.002085833,0.000822435,-0.001180468,-0.000732331,0.000435627,-0.000618713,0.000384197,-0.000366467,-0.001230618,-0.000109128,-0.000557538,0.000679868,2.6532,1.0469,2.6823,1.2422,2.5259,1.3403,2.2566,1.295,2.1372,1.3037,2.0135,1.3252,1.9099,1.3396,1.8366,1.3483,1.7762,1.3612,1.6812,1.3713,1.6117,1.3371,1.5496,1.2778,1.4907,1.212,2.1656,1.1526,2.0807,1.2109,2.0304,1.208,1.9779,1.2598,1.9247,1.2454,1.8912,1.2911,1.8409,1.2627,1.8172,1.3033,1.7632,1.274,1.7416,1.3026,1.6845,1.2465,2.3616,1.0627,2.3616,0.9908,2.1609,1.08,2.0279,1.126,1.9207,1.1526,1.838,1.167,1.7611,1.1821,1.6827,1.1915,0.490177947,0.168993373,0.108646629,0.074461534,0.051980189,0.049003673,0.068052333,0.11971654,0.12555453,0.104595985,0.073814497,0.061762205,1.174165346,0.248327888,0,0.112121586,0.085567108,0.078517387,0.193753297,0.182545036,0.186976924,0.195965813,0.208623537,0.235336971,1.079446126
KMM20-V09,LBX,1.833871039,0.02869458,-0.017682628,0.003260101,-0.002028787,-0.004504463,0.003268187,-0.002759947,-0.004663585,0.000602263,-0.001076062,-0.002360997,0.013533804,-0.000444371,0.005646984,0.006691871,-0.00502006,0.004167303,-0.000249293,-0.000896979,-0.001811692,0.000358597,-0.001457142,-0.00259764,-2.01E-05,0.001048495,-0.000374334,0.004075649,-0.000554948,-0.002296058,0.002495908,0.000631799,0.001446208,0.002070787,-0.00103729,-0.002286018,0.001603159,0.000554086,0.001471124,-0.002681642,0.000462887,-0.002002855,-0.002310148,-0.001613526,-0.00147751,-0.001428088,0.000671601,-0.000653709,0.000569398,-0.000821468,0.001509496,0.001180756,-0.000816089,0.001054894,-0.000628527,-0.001055572,0.000131954,-0.000713155,-0.000824051,0.000490948,0.001110848,2.658,0.9795,2.6748,1.2066,2.5183,1.2907,2.2697,1.26,2.1516,1.2718,2.0291,1.2848,1.9024,1.2923,1.822,1.3058,1.7411,1.3145,1.6672,1.3177,1.5895,1.2783,1.5178,1.2114,1.4628,1.1354,2.164,1.1084,2.0908,1.1652,2.0239,1.1609,1.9678,1.2105,1.911,1.1947,1.8765,1.2415,1.8089,1.2105,1.7938,1.2645,1.7377,1.217,1.7089,1.2537,1.6597,1.1947,2.3646,1.0059,2.3689,0.9407,2.1618,1.0399,2.0216,1.0858,1.9096,1.1077,1.806,1.1206,1.7352,1.1278,1.6597,1.1284,0.511630902,0.184810849,0.122720007,0.09632331,0.057021487,0.050009299,0.068800291,0.118688036,0.123187865,0.126921787,0.081525517,0.081366455,1.20532479,0.273884373,3.70E-05,0.117850965,0.103315294,0.071496084,0.203123534,0.198035956,0.196910767,0.213646109,0.226927301,0.245125315,1.133585127
KMM20-V10,LBX,1.833694054,0.009653826,-0.022673317,0.002212049,0.001071875,0.006751643,0.00075528,-0.001506997,0.01166149,-0.014012996,0.000504563,-0.005614105,0.009409256,-0.00159744,0.004134568,0.002658236,-0.003694864,0.002407842,-0.00661473,0.000491582,-0.004301453,0.005066199,-0.004187874,0.001572179,0.005331888,0.002661897,0.001806151,0.00199859,-0.001675275,-0.000819011,-0.000565945,-0.003778164,0.003090593,4.60E-05,-0.001510008,-0.000196418,0.003103711,0.004492946,-0.001675082,-0.001146412,0.000246196,-0.000809541,-0.000406394,0.000563937,-0.001634491,-0.001689268,-0.000305598,0.00053307,-0.002439192,0.002221793,0.000506784,0.000758272,0.000635815,0.000316995,0.000305462,0.000187375,0.000123336,-9.87E-05,0.001214555,-0.000342136,0.000349382,2.6537,0.986,2.6802,1.1893,2.5431,1.2961,2.2335,1.2724,2.1365,1.2731,2.0178,1.2882,1.8963,1.2968,1.8193,1.3062,1.7395,1.3177,1.6618,1.3177,1.5831,1.2891,1.5092,1.2114,1.4558,1.1321,2.1472,1.1131,2.0782,1.1692,2.0207,1.1631,1.9693,1.2102,1.9124,1.1936,1.8765,1.2429,1.8172,1.2123,1.7913,1.2544,1.7344,1.2206,1.7078,1.2436,1.6604,1.1908,2.359,0.9998,2.3569,0.9304,2.144,1.0556,2.0173,1.0939,1.907,1.1142,1.81,1.1239,1.7276,1.1296,1.6593,1.1307,0.492961997,0.181174446,0.119138994,0.091849061,0.057421686,0.058883274,0.080595906,0.097002526,0.119656592,0.121803982,0.077571644,0.080624376,1.206776541,0.277278488,8.82E-06,0.112512844,0.097019225,0.083214963,0.203472455,0.198988568,0.193241041,0.206282913,0.215223791,0.234547415,1.122066455
KMM20-V29,LBX,1.782963709,0.016280128,0.009300438,-0.007852933,-0.004302915,-0.003347703,0.010428481,-0.003308086,-0.012968604,-0.000206371,-0.002907256,0.002731465,0.004720026,-0.001183575,-0.000155324,0.00713275,0.002906096,-0.003030683,-0.00499304,0.005204906,0.00482757,0.003380401,-0.004553015,0.002361218,0.001392888,0.002130545,0.00370588,0.002482609,-0.002050374,-0.001805393,0.001670534,0.000618376,-0.000588345,0.001808338,-0.002312796,-0.001605821,0.001656513,-0.000935539,-0.001605822,-0.000988215,-0.000388112,0.000975687,-0.003210345,-0.001591448,0.000202132,-0.000455974,-0.000237062,0.001072943,-0.000556684,0.000279435,0.00086749,0.000422308,0.000597385,8.26E-05,-0.000406513,0.00089558,-0.000582049,-0.000707939,0.000294062,0.000281022,-0.000596078,2.6309,0.9894,2.6733,1.198,2.5295,1.2864,2.3101,1.2573,2.1613,1.2627,2.028,1.2762,1.9186,1.2821,1.8463,1.2907,1.7665,1.2961,1.6812,1.2967,1.5982,1.2643,1.5302,1.1985,1.4752,1.1246,2.158,1.1124,2.0854,1.1649,2.0228,1.1627,1.9775,1.2008,1.9193,1.1886,1.8876,1.2318,1.8251,1.2008,1.8107,1.2476,1.751,1.2095,1.7229,1.231,1.6748,1.1807,2.3441,1.0081,2.3447,0.9488,2.158,1.0426,2.0227,1.0863,1.9169,1.1046,1.8211,1.1145,1.747,1.1181,1.673,1.1217,0.488003207,0.210072416,0.123796809,0.09074916,0.059085447,0.055901431,0.078351579,0.148897952,0.133981864,0.10955898,0.072809683,0.079982498,1.163581338,0.268429525,7.20E-07,0.106691424,0.094986736,0.074608981,0.197882819,0.199126216,0.193896906,0.204425463,0.224336622,0.263116894,1.110843216
KMM5-V11,LBX,1.788301496,0.024231017,0.011557076,-0.010819389,0.003638847,-0.002173501,0.003684552,-0.006954833,0.008522367,0.007354987,-0.004904461,-0.009292649,-0.004082605,0.007077883,-0.000511857,0.001675615,0.004769456,0.005734116,-0.00269205,0.002320733,-0.006309203,-0.006262375,-0.001932678,0.000640611,0.000242947,-0.002262663,5.49E-05,-0.002985544,-2.73E-05,0.001335545,0.000306263,0.001320345,0.002392336,0.001151133,0.000668897,0.003065292,-0.002719176,0.001245392,0.000232721,-0.000484943,-2.68E-05,0.002083424,0.000211885,-0.002254596,-0.000810082,-0.00095424,0.000991563,-0.00130759,0.001866682,-0.000604282,-0.001044296,-0.000342957,-0.001037658,0.000860973,-0.000934084,-0.000672236,0.000303774,-0.001295717,-0.001243257,5.32E-05,0.000302987,2.6122,0.9844,2.6586,1.1936,2.5194,1.2789,2.2717,1.2483,2.1444,1.262,2.0135,1.2749,1.9042,1.2864,1.8296,1.2977,1.7584,1.3085,1.6775,1.3096,1.5903,1.2659,1.5018,1.1893,1.4356,1.1224,2.1541,1.0983,2.0685,1.1652,2.0124,1.1559,1.97,1.2069,1.9081,1.1875,1.8822,1.2343,1.8161,1.2055,1.8067,1.2616,1.7384,1.2141,1.7269,1.2645,1.6629,1.1731,2.3238,0.9883,2.3267,0.9408,2.1508,1.0289,2.0084,1.0769,1.9056,1.0991,1.8145,1.1119,1.736,1.1189,1.6618,1.1219,0.496862637,0.190603673,0.123008333,0.080723293,0.056554487,0.042750673,0.054113307,0.128035073,0.131534102,0.109903321,0.075450977,0.072014443,1.184665168,0.305874893,1.68E-05,0.108981879,0.093744333,0.078174484,0.210121679,0.20181774,0.196204842,0.206271787,0.229691119,0.250505828,1.100997934
LBX001V02,LBX,1.747590439,0.007705552,0.012960624,0.004823655,-0.010878204,-0.007493165,0.013658561,0.001679373,0.004212105,-0.002757872,-0.011629297,0.006138063,0.005975696,-0.003195751,-0.002869681,0.003395948,0.004116251,0.009390825,0.003791461,0.004893194,-0.003900413,0.003657346,-0.003301894,-0.004556909,0.002633742,-0.002290182,-0.001896639,-0.002804426,0.001773675,-0.00108678,-0.001538024,-0.001293585,-0.000231159,-0.00133301,-0.005009325,-0.000883369,-0.002162107,-0.001716645,0.003758763,0.001122423,-0.00076059,0.00013035,0.001001168,-0.000317355,-0.001300656,-0.001028237,6.17E-05,-0.00123749,-0.001243318,0.001028647,0.000394022,6.84E-05,0.000791704,-0.000918652,-0.000758823,0.000479229,-0.00069321,-0.000392258,-0.00019096,-0.000348628,-0.000306915,2.6246,1.0367,2.6697,1.2576,2.5424,1.3562,2.2913,1.3269,2.1613,1.3333,2.0388,1.3436,1.9308,1.3504,1.8495,1.3562,1.7772,1.3716,1.7012,1.3716,1.6154,1.3317,1.5502,1.267,1.4898,1.1974,2.1577,1.1692,2.0843,1.2251,2.0232,1.2163,1.9765,1.2627,1.9153,1.2487,1.8986,1.3004,1.8228,1.2697,1.8174,1.3163,1.7551,1.2789,1.7416,1.3225,1.701,1.2458,2.3303,1.0613,2.3296,1.0232,2.158,1.117,2.0221,1.1577,1.9135,1.18,1.8193,1.1926,1.7519,1.1985,1.6985,1.2033,0.463079313,0.206683937,0.132801506,0.102108276,0.059471338,0.051209569,0.060647918,0.130157443,0.122932258,0.108213862,0.081506625,0.073921918,1.146121952,0.273926267,9.80E-07,0.112659531,0.094853835,0.068322251,0.185791765,0.185459025,0.193217727,0.206070498,0.224080343,0.248650156,1.02878402
LBX001V06,LBX,1.844206864,0.000115831,-0.007213789,0.014614493,-0.013306698,0.012499205,0.00281266,0.012223335,-0.024634499,-0.038668537,-0.002340779,-0.005564611,-0.017205908,0.004693369,0.014498553,-0.007544463,-0.012256825,-0.006987561,0.006334726,-0.000426868,-0.004085787,-0.003230144,-0.000236383,0.011843927,-0.003972268,0.003346361,-0.003079272,0.002415598,-0.001158099,0.004481768,0.002728206,-0.003266781,-0.000101527,0.001512776,-0.001111403,0.000183196,-0.003706396,-0.003543418,-0.001106339,-0.000957043,0.003688595,-0.000140992,0.000141567,-0.002370272,-0.000123152,-0.001433214,0.000565837,0.001651222,-0.000384242,-0.001230602,4.15E-05,0.001374104,-0.000808796,-5.19E-05,-0.000150498,0.00079364,0.000944913,9.01E-05,-0.000859137,-0.000269863,-0.000186801,2.6424,1.1052,2.6575,1.2994,2.4881,1.404,2.2389,1.377,2.1214,1.3857,1.98,1.3921,1.8646,1.3943,1.7783,1.4018,1.7042,1.4065,1.6241,1.4083,1.541,1.3608,1.4773,1.2853,1.4191,1.1904,2.048,1.2314,2.0372,1.2686,1.9757,1.2551,1.932,1.3031,1.8684,1.2843,1.8387,1.3279,1.7729,1.2994,1.7481,1.336,1.6942,1.3058,1.6661,1.3328,1.6219,1.2735,2.3393,1.1073,2.3393,1.0739,2.0451,1.1641,1.9714,1.1828,1.8668,1.1974,1.7702,1.2039,1.6956,1.2048,1.6223,1.2033,0.428174754,0.240087838,0.144229158,0.101118742,0.071272505,0.072399448,0.082965656,0.117821645,0.141544763,0.115420969,0.086625285,0.074248906,1.226263402,0.299174548,0,0.111202203,0.0966864,0.0789598,0.219084116,0.213654604,0.212517105,0.225216185,0.252325999,0.287897291,0.99184278
LBX001V07,LBX,1.882907666,0.035030429,-0.00392338,0.031950735,-0.004706955,0.007290643,-0.000238402,0.011310367,0.002422561,-0.006111943,0.005670997,-0.002112843,0.004025851,0.003722878,0.003134087,-0.000715588,0.000559722,-0.002659706,0.007064133,-0.006176083,0.002975387,0.000687535,-0.00224335,0.003099066,2.43E-05,-0.004557872,-0.004300119,0.00054796,-0.00103889,-0.001347441,0.000698001,-0.001362897,0.002211768,0.000277955,-0.003045089,0.000256234,-0.000812244,0.00143548,0.001553214,-0.000310632,-0.001741544,-0.000987259,0.000390169,-0.000407536,0.001467685,0.001526617,0.000941544,-0.000208605,-0.000594896,0.000274052,0.000235831,0.000131648,9.29E-05,0.000135068,-0.000352709,-0.000542816,0.001120701,-0.000207951,-8.27E-05,-4.00E-05,-2.83E-05,2.7001,0.9849,2.7287,1.2195,2.527,1.3306,2.3004,1.3015,2.1731,1.3134,2.048,1.3252,1.9261,1.3414,1.8333,1.3544,1.7632,1.3684,1.6942,1.3749,1.6003,1.3324,1.5255,1.2576,1.4579,1.1699,2.1645,1.117,2.0998,1.1791,2.0307,1.1764,1.9865,1.2282,1.9213,1.2093,1.8905,1.2702,1.8258,1.2346,1.8046,1.2882,1.7528,1.2451,1.7276,1.2868,1.6773,1.2163,2.3786,1.0076,2.3781,0.9502,2.1609,1.0606,2.0246,1.1066,1.9164,1.1289,1.8198,1.144,1.7476,1.1505,1.6758,1.1553,0.497216583,0.229148554,0.153001242,0.114853167,0.07960402,0.072153517,0.089027636,0.127854996,0.125655282,0.122971745,0.093706136,0.071484334,1.25590041,0.31283013,5.00E-07,0.114239967,0.098794433,0.073751271,0.230326659,0.221177983,0.224201806,0.236330806,0.254594756,0.278375753,1.114432775
