ID,centroid_size_right,Comp1,Comp2,Comp3,Comp4,Comp5,Cutwindow_length_right,Sut1_length_right,Sut2_length_right,Sut3_length_right,Sut4_length_right,Sut5_length_right,Sut6_length_right,Arc1_width_right,Arc2_width_right,Arc3_width_right,Arc4_width_right,Arc5_width_right,Arc6_width_right,Rightface_len,cut_edge_length,window_to_edge1,window_to_edge2,Intersect_to_top_dist_right,dist_arc2_arc3_right,dist_arc3_arc4_right,dist_arc4_arc5_right,Rightface_height1,Rightface_height2,Rightface_height3,Rightface_height4,Rightface_height5,Rightface_height6,Rightface_height7,cutting_depth1,cutting_depth2,rail_length,window_to_rail
FEB1xPBX012-1-V35,1.952144613,0.011671582,0.024636726,-0.008226266,-0.004395433,0.006375511,0.493830943,0.206588915,0.153828638,0.116535188,0.07677708,0.078901014,0.080786694,0.105944939,0.122511755,0.099514069,0.056264554,0.086599827,0.069908869,1.262894061,0.244057801,0.289190387,0.20550944,0.049644436,0.114333766,0.088888694,0.070001714,0.203052358,0.22152826,0.21688958,0.224082306,0.241316245,0.26046758,0.404004084,0.068110572,0.069380184,0.879431367,0.145347102
FEB1xPBX013-1-V12,2.016501626,-0.004383305,-0.019102437,0.000132751,-0.008563614,0.002746739,0.483711081,0.194946685,0.124491164,0.088065714,0.052705313,0.057840557,0.058572434,0.14102982,0.123831256,0.110343509,0.069235034,0.072233233,0.065414983,1.287418533,0.229457992,0.288298058,0.212457172,0.066297813,0.110993333,0.086566564,0.068554285,0.184408785,0.190648708,0.192054497,0.201872485,0.225023043,0.259512042,0.411471141,0.055395397,0.061760262,0.9532094,0.133275729
FEB1xPBX013-1-V18,1.979848617,0.004373265,-0.034940415,-0.003098595,-0.016993017,0.006581354,0.481568271,0.182475916,0.119189974,0.072249637,0.049094603,0.038836066,0.049552901,0.125307023,0.134731808,0.104300815,0.072757817,0.066178697,0.064779086,1.263679026,0.210722282,0.272370061,0.209908861,0.069832514,0.114872146,0.084961403,0.070642339,0.18196071,0.181414718,0.189269121,0.192464153,0.21906111,0.247551409,0.393909685,0.065630785,0.063432878,0.933037888,0.142610308
KMM20-V09,2.045744602,0.006031456,-0.009616559,0.007738204,0.010172701,-0.010229087,0.502195709,0.189737977,0.135133194,0.101311599,0.065892185,0.07163414,0.087344204,0.113227073,0.134828076,0.117306607,0.077818892,0.083710214,0.074856195,1.303765903,0.234695398,0.302876377,0.224903468,0.062617969,0.117679607,0.08725881,0.080869339,0.190428701,0.200339337,0.200105622,0.21733672,0.237503726,0.257046163,0.39868697,0.080628345,0.073948698,0.943262615,0.128730571
KMM20-V10,2.005713563,0.004000856,0.009440717,0.00843407,0.003205287,-0.005414914,0.473968142,0.237767323,0.138192981,0.101552006,0.071259035,0.055130482,0.060462633,0.1582,0.12896391,0.114242286,0.080514905,0.072591597,0.068518684,1.26193257,0.245662085,0.290346362,0.21561192,0.059770394,0.107240151,0.091629962,0.082014206,0.19250374,0.193658075,0.194238256,0.206101965,0.229557139,0.283862308,0.407567332,0.069848193,0.064485425,0.925005649,0.138702704
KMM20-V29,1.990970584,9.67E-07,-0.009295223,-0.001294595,0.005966691,0.001167241,0.477256179,0.19484694,0.124013588,0.091146311,0.066780311,0.066292156,0.066811077,0.132719931,0.132042417,0.112329871,0.068618656,0.077542569,0.065924578,1.272775251,0.23554195,0.299256713,0.227780969,0.068518684,0.12248155,0.088763619,0.070864448,0.182307021,0.187649594,0.188346542,0.198459593,0.215838296,0.25554843,0.383899896,0.072389019,0.075944783,0.924158325,0.121507613
KMM5-V11,1.998351258,0.00834896,-0.021563155,-0.002810772,-0.000402047,-0.005424294,0.500882551,0.185045994,0.113635954,0.076064183,0.06534011,0.054334611,0.067529623,0.128993721,0.130393443,0.096692192,0.081379666,0.075988223,0.068008896,1.285875052,0.234728375,0.287321005,0.216289066,0.069408717,0.120863435,0.081641656,0.077456633,0.191019083,0.190272279,0.190717068,0.196057645,0.21564705,0.24592936,0.377408757,0.060097421,0.069456461,0.928279322,0.135971651
LBX001V02,2.068649565,-0.013910444,0.001662204,-0.015461676,0.002563368,0.004368927,0.491984654,0.213070528,0.124091901,0.101796513,0.062616691,0.043892824,0.084804068,0.165135005,0.111402199,0.104202351,0.090062034,0.074529189,0.064901926,1.327792849,0.258473558,0.313803155,0.223746307,0.062803901,0.104169333,0.093865063,0.079297982,0.18506226,0.18839517,0.189144733,0.202192037,0.214749272,0.261062311,0.40286952,0.067939532,0.068755291,0.952984376,0.144649922
LBX001V06,2.064204386,-0.021981663,0.013719482,-0.00972765,0.018190054,0.021213363,0.44933009,0.221365219,0.128610303,0.098221077,0.074740217,0.068544,0.085963015,0.161301116,0.123307299,0.102449988,0.077765867,0.084264643,0.058253669,1.296398878,0.2354752,0.338987463,0.267140001,0.061803964,0.113008009,0.095396279,0.08237967,0.207993293,0.213980373,0.212516023,0.216932155,0.231294185,0.276908162,0.406696754,0.066385842,0.071927811,0.937100486,0.145666056
LBX001V07,2.084439336,-0.00138423,-0.00948903,-0.01223118,-0.014270223,0.013581592,0.489992816,0.218410668,0.138559734,0.099485577,0.062623079,0.06574595,0.074429295,0.147543926,0.133382945,0.109004587,0.088447159,0.07424372,0.060552869,1.334094678,0.255201979,0.30923732,0.223281459,0.074109716,0.120060526,0.085626631,0.083773325,0.210317332,0.207071051,0.20431275,0.221641535,0.238695057,0.275636028,0.416981966,0.077975701,0.080246931,0.954781902,0.14133623
LBX001V08,2.114993175,0.00104049,0.010435198,-0.011052519,-0.016024781,0.010106802,0.513669719,0.225700022,0.154211802,0.110254433,0.0770976,0.05632566,0.078872175,0.142618968,0.140976771,0.11488973,0.089938257,0.072813872,0.0633,1.342754639,0.255412607,0.299726409,0.215684979,0.066962826,0.127125961,0.097509897,0.077488386,0.212804535,0.216143124,0.215961895,0.228691167,0.244818565,0.284538539,0.45147094,0.062683411,0.069896853,0.955088069,0.160429455
LBX001V10,2.053658551,-0.014306119,0.01196786,-0.009646893,0.024245408,0.020395956,0.436193375,0.231934495,0.133210848,0.105319039,0.077829879,0.075761732,0.0883544,0.166974878,0.117961901,0.106834124,0.092274211,0.086181495,0.0555109,1.302444536,0.256717198,0.356214781,0.266565133,0.061200163,0.110284405,0.099854144,0.077286804,0.209688197,0.210955256,0.215799282,0.223473175,0.234950591,0.287929036,0.409581884,0.074249579,0.076991493,0.938041497,0.136564271
