ID,species,cut_edge_aysmmetry,centroid_size_right,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22,Comp23,Comp24,Comp25,Comp26,Comp27,Comp28,Comp29,Comp30,Comp31,Comp32,Comp33,Comp34,Comp35,Comp36,Comp37,Comp38,Comp39,Comp40,Comp41,Comp42,Comp43,Comp44,Comp45,Comp46,Comp47,Comp48,Comp49,Comp50,Comp51,Comp52,Comp53,Comp54,Comp55,Comp56,Comp57,Comp58,Comp59,Comp60,Comp61,Comp62,Comp63,Comp64,Comp65,Comp66,Comp67,Comp68,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,Cutwindow_length_right,Sut1_length_right,Sut2_length_right,Sut3_length_right,Sut4_length_right,Sut5_length_right,Sut6_length_right,Arc1_width_right,Arc2_width_right,Arc3_width_right,Arc4_width_right,Arc5_width_right,Arc6_width_right,Rightface_len,cut_edge_length,window_to_edge1,window_to_edge2,Intersect_to_top_dist_right,dist_arc2_arc3_right,dist_arc3_arc4_right,dist_arc4_arc5_right,Rightface_height1,Rightface_height2,Rightface_height3,Rightface_height4,Rightface_height5,Rightface_height6,Rightface_height7,cutting_depth1,cutting_depth2,rail_length,window_to_rail
FEB1xPBX012-1-V35,LBX,0,1.952144613,0.023707655,-0.027621321,0.007310456,0.001233403,0.005957676,0.002371972,-0.004892773,0.005823168,-0.012751127,0.0085083,0.003472563,0.004384469,0.015211771,-0.017881365,-0.005801902,0.001672135,-0.004425367,0.005275153,-0.004247946,-0.005235807,0.002410704,0.001563795,-0.005576036,0.005838104,-0.007518614,-0.000791802,-0.001345851,-0.004332598,-0.001580217,-0.006316993,-0.004573094,0.001200878,0.001470759,0.000614883,0.002134812,-0.002396816,0.000596377,-0.002767104,0.00339946,-0.000813352,0.002721329,0.000424312,0.000336842,0.00159772,-0.001185517,0.000202314,0.001805003,-0.001272014,-0.000463429,8.27E-05,-0.000266508,3.27E-05,6.41E-05,9.45E-05,0.000977314,-0.000384991,-0.00037164,-0.000450663,-0.000128247,0.000193657,-0.000266004,-0.000223591,0.000114995,0.00040427,-0.000445529,0.000376582,-0.000585306,0.000121388,1.4536,0.9995,1.4482,1.2238,1.6165,1.3447,1.8495,1.3037,1.9552,1.3109,2.0775,1.3181,2.1767,1.326,2.2328,1.3303,2.3191,1.3375,2.3889,1.3414,2.5227,1.3026,2.6241,1.2384,2.7082,1.144,1.9358,1.116,2.0167,1.1699,2.075,1.1688,2.1257,1.212,2.1861,1.1958,2.2131,1.2584,2.2735,1.212,2.2864,1.2724,2.3425,1.2238,2.3684,1.2735,2.4018,1.3101,2.4234,1.1942,2.4871,1.267,2.5685,1.1969,2.6419,1.1284,1.7783,1.0232,1.7762,0.9736,1.9351,1.0577,2.0789,1.1037,2.1893,1.1239,2.2772,1.1338,2.3457,1.1397,2.4234,1.1413,0.493830943,0.206588915,0.153828638,0.116535188,0.07677708,0.078901014,0.080786694,0.105944939,0.122511755,0.099514069,0.056264554,0.086599827,0.069908869,1.262894061,0.244057801,0.289190387,0.20550944,0.049644436,0.114333766,0.088888694,0.070001714,0.203052358,0.22152826,0.21688958,0.224082306,0.241316245,0.26046758,0.404004084,0.068110572,0.069380184,0.879431367,0.145347102
FEB1xPBX013-1-V12,LBX,0,2.016501626,0.011472746,0.013691343,-0.010492943,0.011638153,-0.009093698,-0.014585043,-0.001618242,-0.004275701,0.003477431,-0.002523003,0.000230968,0.00367959,-0.000340997,-0.006319261,0.004867531,0.0031334,-0.009735064,-0.002228442,-0.000391166,-0.001591428,-0.00438427,0.000556665,0.003661085,-0.004072755,-0.006537432,-0.001077466,-0.001055757,-0.00021278,0.000673822,0.001736236,-0.001486583,0.000936417,0.00131427,-0.000648518,-0.000854708,-0.000480337,-0.001094836,0.001667556,0.001312432,-0.00290399,-0.000127489,9.75E-05,-0.000340554,0.002384431,0.002369067,0.001805993,0.002460136,0.001416332,8.45E-05,0.000300914,0.000478887,0.001079081,3.66E-05,-0.000569589,0.000386616,-0.000144986,0.000441634,0.000922336,-8.99E-05,0.00046233,-0.000114054,0.000618116,0.000307227,0.001251381,-0.001021079,0.00045965,0.000508375,0.000378765,1.504,1.0606,1.5169,1.308,1.6909,1.3972,1.9225,1.3468,2.0635,1.3497,2.1872,1.3554,2.2972,1.3641,2.3662,1.3698,2.4382,1.3756,2.5036,1.377,2.6246,1.3393,2.7129,1.2771,2.7862,1.1764,2.0239,1.1803,2.1102,1.2343,2.1656,1.23,2.2238,1.2753,2.272,1.2616,2.3116,1.3134,2.3576,1.2745,2.3889,1.3166,2.4256,1.2832,2.4525,1.3188,2.514,1.3436,2.5043,1.2368,2.5906,1.3042,2.6661,1.2368,2.7314,1.1683,1.797,1.0649,1.7934,0.9987,2.02,1.1063,2.1674,1.1501,2.2659,1.1695,2.3529,1.1803,2.422,1.1875,2.5018,1.1926,0.483711081,0.194946685,0.124491164,0.088065714,0.052705313,0.057840557,0.058572434,0.14102982,0.123831256,0.110343509,0.069235034,0.072233233,0.065414983,1.287418533,0.229457992,0.288298058,0.212457172,0.066297813,0.110993333,0.086566564,0.068554285,0.184408785,0.190648708,0.192054497,0.201872485,0.225023043,0.259512042,0.411471141,0.055395397,0.061760262,0.9532094,0.133275729
FEB1xPBX013-1-V18,LBX,0,1.979848617,0.019275851,0.022557122,-0.024405473,0.016909432,-0.004196028,-0.004493055,0.001223791,0.006967984,0.005874112,-0.001647082,-0.005020759,0.004055034,-0.005266996,-0.00784975,0.002802056,-0.001645964,-0.006475464,-0.006218697,0.006920122,0.001651072,0.001398548,0.002081784,0.00018054,0.00040264,-0.005169667,0.004619928,-0.000210247,-0.000739124,0.000898679,0.002560324,0.000301644,-0.001581607,-0.001543809,-0.000580449,-0.001588944,0.000490264,9.56E-05,0.003579204,0.000258123,-0.001234113,0.000176364,-0.000538308,-0.000652424,0.000511639,0.001021223,-0.000548195,0.000764067,0.000692603,0.000511672,-0.000815265,-0.001398241,-0.000515172,-0.000128921,0.000242838,-8.63E-05,-0.000791775,-0.000133864,0.000773485,-0.000754557,-0.000389176,2.08E-05,0.000521304,-0.000387577,0.000306918,0.000272563,-0.000197347,0.000286986,0.00144225,1.4941,1.0572,1.4978,1.2789,1.6866,1.3619,1.9096,1.3062,2.0347,1.3134,2.1692,1.3213,2.2727,1.3342,2.3454,1.3371,2.4105,1.349,2.4752,1.3522,2.5931,1.3242,2.6852,1.2659,2.7513,1.185,2.0041,1.1501,2.0868,1.2062,2.1329,1.2012,2.1947,1.2537,2.2429,1.2343,2.2839,1.2864,2.3267,1.2483,2.3572,1.3001,2.3964,1.2598,2.422,1.3008,2.4806,1.3249,2.4809,1.2177,2.5654,1.2886,2.6374,1.2242,2.6877,1.1688,1.7787,1.0476,1.7744,0.9779,2.0009,1.0761,2.1303,1.1163,2.2389,1.1419,2.3225,1.1516,2.3943,1.1624,2.4799,1.1703,0.481568271,0.182475916,0.119189974,0.072249637,0.049094603,0.038836066,0.049552901,0.125307023,0.134731808,0.104300815,0.072757817,0.066178697,0.064779086,1.263679026,0.210722282,0.272370061,0.209908861,0.069832514,0.114872146,0.084961403,0.070642339,0.18196071,0.181414718,0.189269121,0.192464153,0.21906111,0.247551409,0.393909685,0.065630785,0.063432878,0.933037888,0.142610308
KMM20-V09,LBX,0,2.045744602,0.021104295,0.011761459,0.001893503,-0.010516118,-0.014432751,-0.00358632,-0.002121702,0.001423337,0.001678174,-0.001965434,-0.004953514,-0.011577724,0.009538885,0.004029629,-0.000944806,-0.004918464,-0.003083556,0.000171615,0.005104403,-0.001233927,0.000276683,0.0002991,-0.003594826,-0.0001792,0.001869869,-0.00219389,0.00267416,-0.005194467,0.000378599,0.000307037,-0.0005075,-0.000614875,0.000437177,0.003665625,0.000485954,-0.000495961,0.001434501,-0.000257618,0.002824113,0.001350297,-0.000257158,-0.000321604,-0.000648182,-0.001677353,-0.000752628,-0.001604093,0.000262724,-0.000688083,0.000521883,0.001500111,-0.000760993,-0.001302375,0.000743036,-0.00022428,0.00053222,-0.000143927,0.000443081,-0.000733453,-0.000614719,0.00132313,-0.001713411,-0.000983541,0.000380505,2.80E-05,0.000538216,-0.000873354,5.79E-05,0.000112649,1.4844,0.9676,1.4817,1.2217,1.6906,1.3198,1.8927,1.2803,2.0056,1.2889,2.1401,1.2983,2.2573,1.3033,2.335,1.3076,2.4184,1.3148,2.4932,1.3119,2.6154,1.2796,2.7075,1.2177,2.7801,1.1124,1.9876,1.116,2.0609,1.1656,2.1246,1.1624,2.1753,1.2033,2.2389,1.1904,2.2756,1.24,2.3252,1.2033,2.3587,1.24,2.4056,1.212,2.4385,1.2298,2.4962,1.2853,2.4854,1.1823,2.5852,1.235,2.6496,1.1717,2.6999,1.1041,1.7744,0.9923,1.7729,0.9297,1.9915,1.043,2.1257,1.084,2.2408,1.1057,2.3272,1.1158,2.4053,1.12,2.4862,1.1216,0.502195709,0.189737977,0.135133194,0.101311599,0.065892185,0.07163414,0.087344204,0.113227073,0.134828076,0.117306607,0.077818892,0.083710214,0.074856195,1.303765903,0.234695398,0.302876377,0.224903468,0.062617969,0.117679607,0.08725881,0.080869339,0.190428701,0.200339337,0.200105622,0.21733672,0.237503726,0.257046163,0.39868697,0.080628345,0.073948698,0.943262615,0.128730571
KMM20-V10,LBX,0,2.005713563,0.019379186,-0.003773637,0.013792191,-0.002225588,-0.0087461,-0.007064306,0.000423218,0.001156051,0.015312884,-0.004589594,-0.002672328,0.001726979,-0.00652843,0.011943233,-0.003023566,-0.000394546,0.001700479,-0.001947259,0.000349681,0.003973277,-0.003210129,-0.003008828,0.005988692,-0.000448121,3.93E-05,0.000521033,0.00424119,0.001860571,-0.00240389,-0.002760047,-0.000352126,-0.000588364,-0.000127491,0.001319649,0.001873146,-0.002205869,0.002621777,-0.001365342,-0.000617161,-0.002477475,-5.81E-05,-0.001805705,-0.000966417,9.37E-05,3.89E-05,0.000745786,0.001079444,0.001367842,0.001217675,0.000157064,-0.001260911,-0.000392987,-0.000429582,0.000740406,-0.000154601,0.000720392,-7.41E-05,0.000285946,0.000317032,0.000996508,-0.000753477,-0.000447442,0.000621359,0.000949205,0.000394185,0.000532326,9.84E-05,0.000104237,1.4951,0.9612,1.4817,1.2098,1.6543,1.3198,1.8416,1.2893,1.9998,1.2893,2.1286,1.2958,2.2427,1.3015,2.3231,1.3058,2.3954,1.3123,2.4639,1.3139,2.5766,1.2832,2.678,1.2091,2.7485,1.1077,1.9959,1.1084,2.0491,1.1602,2.1073,1.1537,2.157,1.1983,2.2102,1.1839,2.2555,1.2314,2.3008,1.1976,2.336,1.2522,2.3821,1.2084,2.4072,1.253,2.468,1.2864,2.4655,1.1726,2.5491,1.254,2.6241,1.1737,2.6791,1.0998,1.7729,0.9887,1.77,0.929,1.9946,1.0502,2.1066,1.0861,2.2087,1.1059,2.299,1.1156,2.381,1.121,2.4651,1.1214,0.473968142,0.237767323,0.138192981,0.101552006,0.071259035,0.055130482,0.060462633,0.1582,0.12896391,0.114242286,0.080514905,0.072591597,0.068518684,1.26193257,0.245662085,0.290346362,0.21561192,0.059770394,0.107240151,0.091629962,0.082014206,0.19250374,0.193658075,0.194238256,0.206101965,0.229557139,0.283862308,0.407567332,0.069848193,0.064485425,0.925005649,0.138702704
KMM20-V29,LBX,0,1.990970584,0.014531165,0.002958094,-0.008792071,-0.006433128,-0.001519134,-0.004857739,0.004724328,0.003851392,0.007175014,-0.006556149,-0.011080155,-0.00210209,0.002716478,0.011869646,-0.000594713,-0.000819752,-0.001444302,0.001092031,0.001337152,-0.001370136,-0.000362966,0.000180827,-0.00311921,-0.00289304,-0.004491623,-0.003972112,0.005542919,-0.002236473,-0.00012645,0.000774637,-0.001519844,0.001523594,0.00063006,0.002501799,-8.12E-05,-0.00226359,0.000572081,0.001898143,0.000913243,-0.000736734,0.002155939,0.002238874,0.001065137,-0.000829581,-0.000661233,-0.000907355,0.000839668,0.001315703,0.001653836,0.000483368,-7.41E-05,-0.00159113,0.001022434,0.000444038,0.000247892,0.000453646,-0.000863335,-0.000414309,8.32E-05,0.00023676,0.000441587,-0.000157881,0.000550452,-0.000162499,4.60E-05,-2.73E-05,0.000113361,0.00017308,1.4935,0.9962,1.4957,1.2087,1.6661,1.3091,1.8819,1.2803,2.0146,1.2826,2.1462,1.2934,2.2584,1.2988,2.327,1.3004,2.4044,1.3051,2.4703,1.3069,2.5931,1.2807,2.6924,1.2166,2.7607,1.1152,1.9941,1.121,2.0595,1.167,2.1091,1.1627,2.1688,1.2051,2.2278,1.1929,2.2709,1.2332,2.3155,1.2066,2.3457,1.2368,2.3859,1.2147,2.4118,1.2387,2.4755,1.2789,2.468,1.1775,2.5609,1.2438,2.6305,1.1726,2.6888,1.1068,1.781,1.0108,1.7794,0.9423,1.9941,1.0507,2.109,1.0885,2.2267,1.112,2.3173,1.1199,2.3896,1.1235,2.4687,1.1246,0.477256179,0.19484694,0.124013588,0.091146311,0.066780311,0.066292156,0.066811077,0.132719931,0.132042417,0.112329871,0.068618656,0.077542569,0.065924578,1.272775251,0.23554195,0.299256713,0.227780969,0.068518684,0.12248155,0.088763619,0.070864448,0.182307021,0.187649594,0.188346542,0.198459593,0.215838296,0.25554843,0.383899896,0.072389019,0.075944783,0.924158325,0.121507613
KMM5-V11,LBX,0,1.998351258,0.021423902,0.012401475,-0.014497867,-0.000909394,-0.002860208,0.011980249,0.006616716,-0.001611298,-0.001260724,-0.006023627,-2.63E-05,0.004394602,0.005565693,0.006596957,-0.001890797,0.000889327,-0.00362743,0.002155004,-0.003354717,-0.002878544,-0.002198182,0.000361986,0.001987313,-0.003156405,-0.005608132,-0.001686796,0.002998749,-0.001859217,-0.001124346,0.003887589,-0.001668499,0.002255187,-0.006191347,0.000279774,-0.000376436,5.85E-05,0.000111847,-0.001258743,-0.001838936,0.000663339,-0.000701722,-0.000944348,-0.000137824,0.000747288,-0.000193826,-0.001514835,0.000867162,0.001434908,0.002061211,-0.001893067,-3.55E-05,0.000664857,-8.67E-05,-4.05E-05,0.000546115,0.000423818,-0.000356279,0.001209261,0.000340468,0.000492734,0.001023414,0.000426856,0.00064269,-0.000343461,-0.000702689,0.000974286,0.000180141,-0.000335074,1.4757,1.0162,1.5047,1.2433,1.6773,1.3008,1.8963,1.2702,2.025,1.2789,2.1552,1.286,2.2515,1.2947,2.3328,1.2983,2.4083,1.3069,2.4763,1.308,2.596,1.2681,2.6931,1.2001,2.7589,1.0991,1.9822,1.1063,2.0627,1.1717,2.1131,1.1616,2.1728,1.212,2.231,1.1882,2.2677,1.2314,2.3116,1.2012,2.3468,1.2458,2.3883,1.212,2.4175,1.24,2.4822,1.2751,2.4795,1.1661,2.5663,1.2346,2.6359,1.1607,2.6992,1.0922,1.7848,1.0081,1.7837,0.9387,1.9793,1.0387,2.1109,1.0811,2.2276,1.1038,2.3085,1.1127,2.3873,1.116,2.479,1.117,0.500882551,0.185045994,0.113635954,0.076064183,0.06534011,0.054334611,0.067529623,0.128993721,0.130393443,0.096692192,0.081379666,0.075988223,0.068008896,1.285875052,0.234728375,0.287321005,0.216289066,0.069408717,0.120863435,0.081641656,0.077456633,0.191019083,0.190272279,0.190717068,0.196057645,0.21564705,0.24592936,0.377408757,0.060097421,0.069456461,0.928279322,0.135971651
LBX001V02,LBX,0,2.068649565,-0.000175649,-0.012661553,-0.012018542,-0.002842751,-0.001523355,-0.01175878,-0.004555922,-0.002283178,-0.003004746,0.000722185,-0.00217873,0.002376277,-0.003393353,0.003393363,0.001212568,-0.006006743,-0.006697327,0.007100964,-0.007057406,0.008420265,-0.004342554,-0.004801851,0.002401258,-0.001556419,0.004106592,-0.003649429,0.000290628,-0.001823067,-0.003475431,0.001585652,-0.001498382,0.00204151,-0.001390134,-0.00282197,-0.001135806,-0.001184111,-0.002508199,-0.000363268,-0.001304678,0.001048106,-0.001373564,-0.000291409,-0.000223078,0.000785905,0.001804078,0.000757199,0.000657974,-0.001774403,-8.16E-05,0.001303614,-0.001232518,0.002179842,-0.001134845,-0.000348919,-0.000477029,-0.000148385,-0.00034313,-0.000537583,-0.000891837,0.001274565,-0.000219132,0.000563186,-0.000196955,-4.69E-06,0.000788259,0.000229031,0.00016638,4.49E-05,1.4802,1.0948,1.4759,1.3177,1.6485,1.4169,1.8905,1.3819,2.0556,1.3785,2.1667,1.3867,2.2709,1.386,2.3608,1.3914,2.4346,1.4018,2.4995,1.4013,2.6273,1.3716,2.7249,1.2967,2.805,1.1839,2.0146,1.2087,2.0894,1.2591,2.157,1.249,2.2109,1.295,2.258,1.2745,2.294,1.3278,2.3508,1.2886,2.3745,1.3497,2.4299,1.2942,2.4633,1.322,2.5108,1.3716,2.5029,1.2688,2.5964,1.3242,2.6676,1.2587,2.7373,1.1782,1.7949,1.1041,1.7942,1.0413,2.0153,1.1526,2.1583,1.1899,2.2586,1.2066,2.3511,1.2147,2.4323,1.2171,2.5043,1.2163,0.491984654,0.213070528,0.124091901,0.101796513,0.062616691,0.043892824,0.084804068,0.165135005,0.111402199,0.104202351,0.090062034,0.074529189,0.064901926,1.327792849,0.258473558,0.313803155,0.223746307,0.062803901,0.104169333,0.093865063,0.079297982,0.18506226,0.18839517,0.189144733,0.202192037,0.214749272,0.261062311,0.40286952,0.067939532,0.068755291,0.952984376,0.144649922
LBX001V06,LBX,0,2.064204386,-0.006236922,-0.018212094,0.002644172,-0.008197668,-0.003046442,-0.023194856,0.02018401,-0.005498307,-0.008207469,0.000198093,-0.000968105,0.004072745,-0.001202382,0.005991257,-0.002731959,-0.005484035,0.004450636,-0.008730393,-0.004021304,-0.003195481,0.00023248,-0.003661135,-0.003117477,-0.00218362,-0.000574889,-0.003650088,3.19E-05,0.000654331,0.002066732,-0.002595282,0.002177938,-0.000632858,-0.001799644,-0.003802605,-0.001781578,-0.001152289,-0.000830015,0.001984642,0.001210352,0.001049596,0.001148646,0.000163999,0.001519955,-0.000686041,0.002108181,-0.001019091,0.002201747,0.000897873,0.000694433,-0.000617859,0.001927467,0.001070046,-0.00013153,-0.000134385,-0.000420213,-0.000365089,0.001193209,0.00010195,0.001058002,0.000604604,4.06E-06,-0.000181201,7.06E-05,-4.21E-05,-0.00026727,0.000359895,0.000257202,0.000319519,1.4908,1.0356,1.4558,1.2713,1.6187,1.3781,1.8727,1.3517,2.034,1.3511,2.157,1.3598,2.2594,1.363,2.3371,1.3662,2.4213,1.3695,2.4795,1.372,2.6327,1.3263,2.7168,1.2487,2.7826,1.1447,2.0043,1.1737,2.075,1.2292,2.1311,1.2184,2.1877,1.2665,2.2411,1.2443,2.2805,1.2913,2.3357,1.2566,2.3659,1.304,2.4177,1.2645,2.4471,1.2875,2.4903,1.3436,2.4515,1.2174,2.5858,1.2853,2.6543,1.2131,2.7168,1.1359,1.7891,1.0703,1.7884,1.0085,2.004,1.1079,2.1318,1.1415,2.2386,1.1588,2.3353,1.1645,2.4137,1.1664,2.4515,1.1659,0.44933009,0.221365219,0.128610303,0.098221077,0.074740217,0.068544,0.085963015,0.161301116,0.123307299,0.102449988,0.077765867,0.084264643,0.058253669,1.296398878,0.2354752,0.338987463,0.267140001,0.061803964,0.113008009,0.095396279,0.08237967,0.207993293,0.213980373,0.212516023,0.216932155,0.231294185,0.276908162,0.406696754,0.066385842,0.071927811,0.937100486,0.145666056
LBX001V07,LBX,0,2.084439336,0.012267397,-0.001967014,-0.015569065,0.014700603,-0.005706263,-0.013181982,-0.002246499,0.011541118,-0.004194809,0.004182754,0.002324677,0.006427902,-0.002480425,0.007095835,-0.002262048,-0.000466936,0.000167454,0.001456121,0.002752535,-0.000372439,-0.002555537,-0.000685444,-0.000641864,0.003232396,0.005400303,0.001690571,0.001024586,-0.001415551,0.001916161,-0.000944028,-0.005688875,-0.000794268,-0.000939699,0.002703844,-0.002242153,0.000199317,-0.003234288,-0.000949197,-0.003062776,0.000917762,0.001582743,0.001396895,-0.000580252,-0.001909956,0.000680491,-0.000432662,-0.000725928,0.001167406,0.002287108,-0.000160548,-0.002283315,0.001184318,-0.001139414,0.000368239,-0.000581572,-0.000112003,-0.000895437,0.000268205,-0.000602955,-0.000158722,0.000167191,-0.000204983,0.00044181,-0.001059056,0.000162698,0.000496597,0.000214907,-0.000812411,1.4364,1.0998,1.431,1.3285,1.6165,1.4115,1.8545,1.3702,2.002,1.3738,2.135,1.3839,2.244,1.3849,2.3323,1.39,2.4056,1.4018,2.466,1.4061,2.5879,1.3781,2.6872,1.3042,2.767,1.1963,1.9826,1.1933,2.0494,1.2436,2.1113,1.2328,2.1667,1.2896,2.2271,1.2645,2.2594,1.3242,2.3105,1.2839,2.3536,1.3278,2.3939,1.2918,2.422,1.3292,2.4725,1.3754,2.4666,1.2697,2.5503,1.327,2.6273,1.2508,2.6909,1.1793,1.7513,1.0906,1.7501,1.0165,1.9806,1.1251,2.1113,1.1616,2.2271,1.1823,2.3119,1.1922,2.3964,1.1931,2.4687,1.1958,0.489992816,0.218410668,0.138559734,0.099485577,0.062623079,0.06574595,0.074429295,0.147543926,0.133382945,0.109004587,0.088447159,0.07424372,0.060552869,1.334094678,0.255201979,0.30923732,0.223281459,0.074109716,0.120060526,0.085626631,0.083773325,0.210317332,0.207071051,0.20431275,0.221641535,0.238695057,0.275636028,0.416981966,0.077975701,0.080246931,0.954781902,0.14133623
