ind,genPC1_LecPine,genPC2_LecPine,genPC3_LecPine,ID,avg_perc_PP_reads_mapped,MERGED_FINAL_read_count,species,city,state,area,latitude,longitude,host,stage,lcPC1,lcPC2,change_tmax,site_number,grouped_site_number_5km,allele_imbalance,average_depth_coverage,missingness,heterozygosity,pop,admix_prop_k2,lec_blue_k2,pine_orange_k2,lec_blue_k3,pine_orange_k3,lec_purple_k3,lec_blue_k4,pine_orange_k4,lec_purple_k4,lec_green_k4
21074D-06-01,-0.0909532,-0.00361621,0.136863,AG001_AG1,0.9496,45314600,pinetum,Arrington,TN,Central,35.8428,-86.6612,white,larva,-0.890367367,-1.201586252,0.251053397,7,7,29.88882,23.4,0.007336428,0.062745098,pinetum_TN,0,0,1,0,0.9048,0.0952,0,0.7846,6.00E-04,0.2147
21074D-06-04,0.0202362,0.0444152,-0.00108661,AG008_F10,0.98155,42546108,lecontei,Kings_Mountain,NC,Central,35.187,-81.2913,virginia,adultF,0.622175066,-1.121585666,0.808802732,4,4,14.33974,21.4,0.007727639,0.131799133,lecontei_NC,0.0073,0.9927,0.0073,0.1802,0,0.8198,0.0257,0,0.3027,0.6716
21074D-06-05,0.0201726,0.0442941,-0.00101041,AG009_F3,0.94605,45532920,lecontei,Kings_Mountain,NC,Central,35.187,-81.2913,virginia,adultF,0.622175066,-1.121585666,0.808802732,4,4,11.59912,22.5,0.005766751,0.166894173,lecontei_NC,0.0072,0.9928,0.0072,0.1803,0,0.8196,0.0253,0,0.288,0.6867
21074D-06-06,0.0201186,0.0441482,-0.00099387,AG010,0.9331,42076196,lecontei,Kings_Mountain,NC,Central,35.187,-81.2913,virginia,adultF,0.622175066,-1.121585666,0.808802732,4,4,14.06141,20,0.012755435,0.165727369,lecontei_NC,0.0073,0.9927,0.0073,0.1792,0,0.8208,0.025,0,0.2884,0.6866
21074D-06-07,0.0202132,0.0441127,-0.0009134,AG011,0.933,36612420,lecontei,Kings_Mountain,NC,Central,35.187,-81.2913,virginia,adultF,0.622175066,-1.121585666,0.808802732,4,4,16.04674,18,0.027616651,0.166318153,lecontei_NC,0.0073,0.9927,0.0073,0.1814,0,0.8186,0.0257,0,0.2876,0.6867
21074D-06-09,0.0203449,0.0436933,-0.00094994,AG024_F1,0.9789,36928742,lecontei,Cary,NC,Central,35.7835,-78.8246,loblolly,adultF,-1.970652019,-0.386446543,0.295069472,6,6,14.5964,18.8,0.02142005,0.157471843,lecontei_NC,0.0045,0.9955,0.0045,0.1848,0,0.8152,0.0268,0,0.2865,0.6867
21074D-06-10,0.0201797,0.0437439,-0.000799148,AG028,0.979,38957364,lecontei,Cary,NC,Central,35.7835,-78.8246,loblolly,adultF,-1.970652019,-0.386446543,0.295069472,6,6,13.78682,19.9,0.014735642,0.158741752,lecontei_NC,0.0047,0.9953,0.0047,0.184,0,0.816,0.0267,0,0.2868,0.6865
21074D-06-11,0.0202669,0.043742,-0.00148146,AG029_F1,0.9802,36220170,lecontei,Cary,NC,Central,35.7835,-78.8246,loblolly,adultF,-1.970652019,-0.386446543,0.295069472,6,6,16.25093,18.2,0.024100575,0.156860125,lecontei_NC,0.0054,0.9946,0.0054,0.184,0,0.816,0.0268,0,0.2868,0.6864
21074D-06-12,0.0202863,0.0438123,-0.00109334,AG030_F1,0.9792,49316876,lecontei,Cary,NC,Central,35.7835,-78.8246,loblolly,adultF,-1.970652019,-0.386446543,0.295069472,6,6,10.59971,25.2,0.003776884,0.152375319,lecontei_NC,0.0048,0.9952,0.0048,0.1841,0,0.8159,0.0272,0,0.2867,0.6861
21074D-06-13,0.0202538,0.0433823,-0.00110476,AG031,0.98015,40503784,lecontei,Raleigh,NC,Central,35.7819,-78.6389,longleaf,adultF,-2.001867965,-0.287741181,0.326970641,5,5,14.39203,20.7,0.01093461,0.155782894,lecontei_NC,0.006,0.994,0.006,0.1862,0,0.8137,0.027,0,0.286,0.687
21074D-06-14,-0.0874587,-0.00283575,0.109225,AG033_AG1,0.94115,36348906,pinetum,Knoxville,TN,Central,35.9854,-83.9934,white,larva,-1.970904341,-0.613450176,0.724738204,12,11,34.8629,19,0.027133674,0.092845689,pinetum_TN,0.0285,0.0285,0.9715,0.0015,0.8859,0.1126,0,0.7748,0.0073,0.2179
21074D-06-15,-0.0999471,-0.012072,-0.127742,AG035_AG1,0.91965,39393348,pinetum,Dayton,OH,Central,39.6741,-84.2271,white,larva,-1.938995308,0.673690323,0.781915568,81,55,44.71803,20.7,0.01735338,0.049307958,pinetum_OH,0.0082,0.0082,0.9918,0.0011,0.9899,0.009,0,0.9896,0.0104,0
21074D-06-16,-0.0933756,-0.00881013,-0.0477773,AG039_F1,0.94235,38600502,pinetum,Canton,OH,Central,40.7557,-81.4498,white,adultF,-1.849977312,-0.831973832,0.737373767,90,63,35.53532,19.1,0.02334713,0.079578666,pinetum_OH,0,0,1,0,0.9799,0.0201,0,0.9532,0,0.0468
21074D-06-18,-0.100939,-0.0125565,-0.110666,AG045_F2,0.96165,54811794,pinetum,Demotte,IN,Central,41.1655,-87.2717,white,adultF,-1.086942374,-1.223232523,0.271502576,92,65,27.76255,28.2,0.007012833,0.049519205,pinetum_IN,0,0,1,0,1,0,0,1,0,0
21074D-06-22,-0.103036,-0.0135999,-0.130008,AG064,0.96945,49800846,pinetum,West_Lafeyette,IN,Central,40.4693,-86.9132,white,adultF,-1.633508441,-0.589725734,0.29710147,88,61,37.57554,24.7,0.006959705,0.03430314,pinetum_IN,0,0,1,0,1,0,0,1,0,0
21074D-06-23,-0.103292,-0.0136874,-0.131097,AG065_F1,0.97205,60016634,pinetum,West_Lafeyette,IN,Central,40.4693,-86.9132,white,adultF,-1.633508441,-0.589725734,0.29710147,88,61,37.88604,28.5,0.007780767,0.028115539,pinetum_IN,0,0,1,0,1,0,0,1,0,0
21074D-06-24,-0.103039,-0.0135941,-0.130199,AG066_F1,0.972,45382120,pinetum,West_Lafeyette,IN,Central,40.4693,-86.9132,white,adultF,-1.633508441,-0.589725734,0.29710147,88,61,39.977,22,0.009142763,0.034061885,pinetum_IN,0,0,1,0,1,0,0,1,0,0
